gene_2019,gene_3319,gene_4846,gene_5771,gene_1744,gene_1833,gene_2287,gene_5038,gene_3846,gene_460,gene_4327,gene_1881,gene_4195,gene_2641,gene_2758,gene_3257,label
627,1122,178,2037,164,168,-323,465,67,214,4646,-65,33,12968,-14,687,0
503,1016,105,1497,797,244,-524,639,68,234,2141,68,1269,1813,411,582,0
1565,64,92,2105,265,154,-124,450,472,35,3090,250,1045,4750,649,3181,0
767,1141,399,2805,313,287,203,342,176,191,3198,107,2450,2559,75,1443,0
927,769,805,6996,178,222,-140,535,353,51,10565,-177,1537,5632,194,3187,0
894,1390,-428,2753,390,390,-190,396,0,128,5279,394,690,9288,86,2098,0
181,428,252,4240,491,73,-111,203,198,-4,3686,-125,1183,3627,154,1111,0
1165,646,-52,3821,223,88,-120,389,242,43,3619,-96,7064,3115,-36,1288,0
441,188,-152,3686,252,128,-38,244,54,97,5420,502,155,11999,183,974,0
309,470,-61,2943,87,117,-31,466,46,142,3770,78,1327,4200,278,726,0
385,591,28,2809,173,37,-83,180,103,80,3972,49,283,3403,160,938,0
360,682,43,2178,426,111,-321,86,51,12,2962,239,348,4896,185,795,0
310,931,509,306,190,130,-28,396,-23,105,1076,-39,1128,4317,134,3367,0
665,1029,417,1374,406,230,-21,754,157,146,3102,453,1357,6517,115,2730,0
859,1049,1931,8402,462,74,115,648,386,145,6609,163,2282,6101,216,3496,0
623,1496,395,5032,505,252,16,391,349,84,6622,-166,2128,4634,120,3860,0
654,993,2451,1358,1448,247,149,501,96,53,1438,2090,4401,707,134,2977,0
781,861,878,1188,217,159,-77,244,-29,74,2833,359,2057,1642,107,1130,0
669,973,162,2075,185,252,-2,244,-74,2,648,553,1102,4941,239,927,0
261,571,373,4961,147,122,-33,101,-40,205,4913,180,4509,2282,66,1026,0
801,541,2007,407,1744,1533,7213,442,218,109,1439,17846,6371,460,198,2601,0
1534,3568,3870,2585,1522,769,19568,4460,300,106,666,21404,7056,686,334,9754,0
1339,2335,2335,376,2089,593,9851,683,677,211,764,2745,6957,382,434,7397,0
1895,2442,5814,1238,2735,928,6595,729,1375,346,1683,11686,7281,-160,175,6793,0
1811,1083,4403,2685,855,629,4366,458,280,204,1629,10737,7248,155,238,2380,0
1147,721,2287,2295,444,827,10120,318,110,96,469,3168,8964,174,192,1987,0
1656,2392,2871,562,1020,646,5903,333,340,151,420,14193,3653,698,71,1369,0
880,723,2122,2564,385,336,3717,391,139,183,1151,2460,10449,314,176,1210,1
1263,1023,3186,934,489,526,2130,485,407,175,1012,123,975,325,132,2518,1
610,2349,2194,427,716,560,4667,323,386,218,614,12735,5086,301,280,2107,1
749,775,543,834,460,341,-189,410,217,65,2284,2103,3340,623,163,1084,1
1476,2502,5949,537,2686,1883,7924,656,359,250,1453,19680,5178,351,256,2381,1
3220,3190,4174,3201,1499,2204,2705,1152,1116,455,986,3293,6311,1070,143,3334,1
1295,1030,7133,417,1837,1605,5249,676,653,333,720,24178,5314,1742,155,4276,1
