gene_2019,gene_3319,gene_4846,gene_5771,gene_1744,gene_1833,gene_2287,gene_5038,gene_3846,gene_460,gene_4327,gene_1881,gene_4195,gene_2641,gene_2758,gene_3257,label
654,1124,298,3105,365,261,-283,600,393,75,3016,303,177,9326,160,1298,0
1283,1062,307,1118,624,101,-65,337,118,129,3424,1358,3460,895,134,1379,0
1286,1398,309,4543,108,309,-395,574,667,44,7724,254,416,628,167,1496,0
915,942,693,5467,873,288,-367,716,410,218,3821,-304,392,5314,104,1401,0
732,928,713,3469,686,395,290,524,119,110,5216,-86,7972,5354,145,1894,0
691,842,247,3309,302,58,-40,270,147,33,4194,1168,597,282,81,528,0
853,1066,52,3936,325,84,-366,463,735,115,5528,-233,403,5146,122,1747,0
1238,1668,-215,4745,244,251,-656,689,248,32,2073,-247,140,4048,335,1514,0
822,966,-223,4081,273,155,-231,262,258,9,7782,336,848,423,131,803,0
885,1175,492,1658,144,167,-36,167,409,54,5204,498,1094,585,264,1939,0
680,626,-25,2853,34,140,-152,174,306,38,6541,-376,1343,147,195,587,0
412,747,408,551,399,287,41,258,15,7,846,107,5252,2504,104,1347,0
548,706,724,4746,281,152,-104,201,87,103,7743,-97,2408,5075,150,1489,0
1157,864,360,1534,589,145,-140,180,188,72,1756,820,2525,155,135,1784,0
387,515,938,5311,854,81,-198,625,99,158,7288,76,2133,5767,128,2286,0
707,825,848,4326,289,202,-102,330,67,28,6084,36,1232,3649,182,944,0
1822,1837,926,7155,534,286,-158,784,-226,117,2455,375,1150,218,227,1888,0
738,883,390,1178,540,141,-76,314,102,99,1273,22,1232,3339,157,2111,0
907,1309,615,3427,44,155,-108,146,432,101,6482,-180,1519,2696,290,1983,0
860,817,827,6870,616,180,-58,636,359,22,7629,205,180,8148,70,2731,0
92,383,68,9177,447,139,-151,371,149,48,5746,-124,1912,2805,39,1962,0
686,825,122,4836,239,124,-243,180,160,74,699,-102,354,5397,126,1739,0
803,731,-108,3085,9,108,-275,780,366,43,2443,425,178,870,74,585,0
803,899,222,5815,515,102,-263,655,770,168,3840,-205,1687,5955,205,1571,0
842,1171,700,1872,50,203,-203,402,267,9,3878,-229,3711,5070,144,1395,0
514,805,433,3265,268,128,-53,190,59,117,3262,66,1750,8219,98,1437,0
561,1286,-674,2877,483,84,-398,273,-187,12,1810,34,291,4184,143,990,0
1811,2402,2947,1126,1674,1450,4830,1807,652,355,782,1537,8518,711,293,4719,1
1406,2137,1050,880,735,781,-312,1038,262,295,490,1481,3628,654,322,1106,1
1707,3965,4863,473,2727,970,4573,1051,618,283,1648,17863,10603,-14,337,5868,1
2072,2539,2612,186,2399,408,6759,1064,805,311,528,13296,8479,218,417,6903,1
1753,2286,1671,680,784,275,1569,2538,673,70,99,1661,1285,251,271,7061,1
1929,1641,2224,794,679,316,-21,733,822,297,1203,1073,7858,-2,238,7113,1
1647,2545,3348,1312,1305,555,6569,1296,1137,190,1561,6962,8859,412,217,3717,1
2112,3818,6218,485,2694,1130,7372,647,1050,326,1628,14555,11003,343,213,11618,1
1555,2943,1548,408,1028,1338,4833,1085,1157,197,1784,7238,5849,272,283,1262,1
1514,2535,3297,1047,2680,774,141,1467,1083,259,1214,12339,3259,306,264,3088,1
2693,1373,3482,335,3223,443,2000,1513,1099,100,1583,3654,8855,19,304,5749,1
