gene_2019,gene_3319,gene_4846,gene_5771,label
627,1122,178,2037,0
503,1016,105,1497,0
1565,64,92,2105,0
767,1141,399,2805,0
927,769,805,6996,0
894,1390,-428,2753,0
181,428,252,4240,0
1165,646,-52,3821,0
441,188,-152,3686,0
309,470,-61,2943,0
385,591,28,2809,0
360,682,43,2178,0
310,931,509,306,0
665,1029,417,1374,0
859,1049,1931,8402,0
623,1496,395,5032,0
654,993,2451,1358,0
781,861,878,1188,0
669,973,162,2075,0
261,571,373,4961,0
801,541,2007,407,0
1534,3568,3870,2585,0
1339,2335,2335,376,0
1895,2442,5814,1238,0
1811,1083,4403,2685,0
1147,721,2287,2295,0
1656,2392,2871,562,0
880,723,2122,2564,1
1263,1023,3186,934,1
610,2349,2194,427,1
749,775,543,834,1
1476,2502,5949,537,1
3220,3190,4174,3201,1
1295,1030,7133,417,1
