gene_2019,gene_3319,gene_4846,gene_5771,label
654,1124,298,3105,0
1283,1062,307,1118,0
1286,1398,309,4543,0
915,942,693,5467,0
732,928,713,3469,0
691,842,247,3309,0
853,1066,52,3936,0
1238,1668,-215,4745,0
822,966,-223,4081,0
885,1175,492,1658,0
680,626,-25,2853,0
412,747,408,551,0
548,706,724,4746,0
1157,864,360,1534,0
387,515,938,5311,0
707,825,848,4326,0
1822,1837,926,7155,0
738,883,390,1178,0
907,1309,615,3427,0
860,817,827,6870,0
92,383,68,9177,0
686,825,122,4836,0
803,731,-108,3085,0
803,899,222,5815,0
842,1171,700,1872,0
514,805,433,3265,0
561,1286,-674,2877,0
1811,2402,2947,1126,1
1406,2137,1050,880,1
1707,3965,4863,473,1
2072,2539,2612,186,1
1753,2286,1671,680,1
1929,1641,2224,794,1
1647,2545,3348,1312,1
2112,3818,6218,485,1
1555,2943,1548,408,1
1514,2535,3297,1047,1
2693,1373,3482,335,1
