gene_2019,gene_3319,gene_4846,gene_5771,gene_1744,gene_1833,gene_2287,gene_5038,label
654,1124,298,3105,365,261,-283,600,0
1283,1062,307,1118,624,101,-65,337,0
1286,1398,309,4543,108,309,-395,574,0
915,942,693,5467,873,288,-367,716,0
732,928,713,3469,686,395,290,524,0
691,842,247,3309,302,58,-40,270,0
853,1066,52,3936,325,84,-366,463,0
1238,1668,-215,4745,244,251,-656,689,0
822,966,-223,4081,273,155,-231,262,0
885,1175,492,1658,144,167,-36,167,0
680,626,-25,2853,34,140,-152,174,0
412,747,408,551,399,287,41,258,0
548,706,724,4746,281,152,-104,201,0
1157,864,360,1534,589,145,-140,180,0
387,515,938,5311,854,81,-198,625,0
707,825,848,4326,289,202,-102,330,0
1822,1837,926,7155,534,286,-158,784,0
738,883,390,1178,540,141,-76,314,0
907,1309,615,3427,44,155,-108,146,0
860,817,827,6870,616,180,-58,636,0
92,383,68,9177,447,139,-151,371,0
686,825,122,4836,239,124,-243,180,0
803,731,-108,3085,9,108,-275,780,0
803,899,222,5815,515,102,-263,655,0
842,1171,700,1872,50,203,-203,402,0
514,805,433,3265,268,128,-53,190,0
561,1286,-674,2877,483,84,-398,273,0
1811,2402,2947,1126,1674,1450,4830,1807,1
1406,2137,1050,880,735,781,-312,1038,1
1707,3965,4863,473,2727,970,4573,1051,1
2072,2539,2612,186,2399,408,6759,1064,1
1753,2286,1671,680,784,275,1569,2538,1
1929,1641,2224,794,679,316,-21,733,1
1647,2545,3348,1312,1305,555,6569,1296,1
2112,3818,6218,485,2694,1130,7372,647,1
1555,2943,1548,408,1028,1338,4833,1085,1
1514,2535,3297,1047,2680,774,141,1467,1
2693,1373,3482,335,3223,443,2000,1513,1
