method,K,fold_id,accuracy,precision,recall,f1,auroc
signal_to_noise,4,0,0.625,0.8,0.6666666666666666,0.7272727272727273,0.75
signal_to_noise,4,1,1.0,1.0,1.0,1.0,1.0
signal_to_noise,4,2,0.625,0.6666666666666666,0.8,0.7272727272727273,0.6000000000000001
signal_to_noise,4,3,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,1.0
signal_to_noise,4,4,1.0,1.0,1.0,1.0,1.0
signal_to_noise,8,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
signal_to_noise,8,1,1.0,1.0,1.0,1.0,1.0
signal_to_noise,8,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.8666666666666667
signal_to_noise,8,3,1.0,1.0,1.0,1.0,1.0
signal_to_noise,8,4,1.0,1.0,1.0,1.0,1.0
signal_to_noise,16,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
signal_to_noise,16,1,1.0,1.0,1.0,1.0,1.0
signal_to_noise,16,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.9333333333333333
signal_to_noise,16,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0
signal_to_noise,16,4,1.0,1.0,1.0,1.0,1.0
signal_to_noise,24,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
signal_to_noise,24,1,1.0,1.0,1.0,1.0,1.0
signal_to_noise,24,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.9333333333333333
signal_to_noise,24,3,1.0,1.0,1.0,1.0,1.0
signal_to_noise,24,4,1.0,1.0,1.0,1.0,1.0
signal_to_noise,32,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
signal_to_noise,32,1,1.0,1.0,1.0,1.0,1.0
signal_to_noise,32,2,0.75,0.8,0.8,0.8,0.9333333333333333
signal_to_noise,32,3,1.0,1.0,1.0,1.0,1.0
signal_to_noise,32,4,1.0,1.0,1.0,1.0,1.0
signal_to_noise,50,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
signal_to_noise,50,1,1.0,1.0,1.0,1.0,1.0
signal_to_noise,50,2,0.75,0.8,0.8,0.8,0.9333333333333333
signal_to_noise,50,3,1.0,1.0,1.0,1.0,1.0
signal_to_noise,50,4,1.0,1.0,1.0,1.0,1.0
anova_f_test,4,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
anova_f_test,4,1,1.0,1.0,1.0,1.0,1.0
anova_f_test,4,2,0.5,0.6,0.6,0.6,0.6000000000000001
anova_f_test,4,3,1.0,1.0,1.0,1.0,1.0
anova_f_test,4,4,1.0,1.0,1.0,1.0,1.0
anova_f_test,8,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
anova_f_test,8,1,1.0,1.0,1.0,1.0,1.0
anova_f_test,8,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.8666666666666667
anova_f_test,8,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0
anova_f_test,8,4,1.0,1.0,1.0,1.0,1.0
anova_f_test,16,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
anova_f_test,16,1,1.0,1.0,1.0,1.0,1.0
anova_f_test,16,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.8666666666666667
anova_f_test,16,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.9
anova_f_test,16,4,1.0,1.0,1.0,1.0,1.0
anova_f_test,24,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
anova_f_test,24,1,1.0,1.0,1.0,1.0,1.0
anova_f_test,24,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.9333333333333333
anova_f_test,24,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0
anova_f_test,24,4,1.0,1.0,1.0,1.0,1.0
anova_f_test,32,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
anova_f_test,32,1,1.0,1.0,1.0,1.0,1.0
anova_f_test,32,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.9333333333333333
anova_f_test,32,3,1.0,1.0,1.0,1.0,1.0
anova_f_test,32,4,1.0,1.0,1.0,1.0,1.0
anova_f_test,50,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
anova_f_test,50,1,1.0,1.0,1.0,1.0,1.0
anova_f_test,50,2,0.75,0.8,0.8,0.8,0.9333333333333333
anova_f_test,50,3,1.0,1.0,1.0,1.0,1.0
anova_f_test,50,4,1.0,1.0,1.0,1.0,1.0
mutual_information,4,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
mutual_information,4,1,1.0,1.0,1.0,1.0,1.0
mutual_information,4,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.8666666666666667
mutual_information,4,3,0.7142857142857143,0.8,0.8,0.8,0.9
mutual_information,4,4,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0
mutual_information,8,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
mutual_information,8,1,1.0,1.0,1.0,1.0,1.0
mutual_information,8,2,0.625,0.6666666666666666,0.8,0.7272727272727273,0.6000000000000001
mutual_information,8,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.9
mutual_information,8,4,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0
mutual_information,16,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
mutual_information,16,1,1.0,1.0,1.0,1.0,1.0
mutual_information,16,2,0.75,0.8,0.8,0.8,0.8666666666666667
mutual_information,16,3,1.0,1.0,1.0,1.0,1.0
