method,K,fold_id,accuracy,precision,recall,f1,auroc,best_lambda
scad_regularization,4,0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666667,1.2000000000000004
scad_regularization,4,1,1.0,1.0,1.0,1.0,1.0,1.2000000000000004
scad_regularization,4,2,0.625,0.6666666666666666,0.8,0.7272727272727273,0.8666666666666667,2.0000000000000004
scad_regularization,4,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0,1.4000000000000004
scad_regularization,4,4,1.0,1.0,1.0,1.0,1.0,1.8000000000000005
scad_regularization,8,0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,1.2000000000000004
scad_regularization,8,1,1.0,1.0,1.0,1.0,1.0,1.2000000000000004
scad_regularization,8,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.8666666666666667,2.0000000000000004
scad_regularization,8,3,1.0,1.0,1.0,1.0,1.0,1.4000000000000004
scad_regularization,8,4,1.0,1.0,1.0,1.0,1.0,1.8000000000000005
scad_regularization,16,0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333333,1.2000000000000004
scad_regularization,16,1,1.0,1.0,1.0,1.0,1.0,1.2000000000000004
scad_regularization,16,2,0.75,0.8,0.8,0.8,0.8666666666666667,2.0000000000000004
scad_regularization,16,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0,1.4000000000000004
scad_regularization,16,4,1.0,1.0,1.0,1.0,1.0,1.8000000000000005
