k,method,gene_balance,patient_balance,validation,status,time_seconds,genes_selected,error,validation_name,note
2,ANOVA,Yes,Yes,split,success,0.15,2,,70/30 Split,
2,ANOVA,Yes,Yes,split,success,0.14,2,,80/20 Split,
2,ANOVA,Yes,Yes,cv,success,0.15,2,,5-Fold CV,
2,ANOVA,Yes,Yes,cv,success,0.17,2,,10-Fold CV,
2,ANOVA,Yes,Yes,loocv,success,0.19,2,,LOOCV,
2,ANOVA,Yes,No,split,success,0.12,2,,70/30 Split,
2,ANOVA,Yes,No,split,success,0.13,2,,80/20 Split,
2,ANOVA,Yes,No,cv,success,0.17,2,,5-Fold CV,
2,ANOVA,Yes,No,cv,success,0.15,2,,10-Fold CV,
2,ANOVA,Yes,No,loocv,success,0.23,2,,LOOCV,
2,ANOVA,No,Yes,split,success,0.16,2,,70/30 Split,
2,ANOVA,No,Yes,split,success,0.13,2,,80/20 Split,
2,ANOVA,No,Yes,cv,success,0.15,2,,5-Fold CV,
2,ANOVA,No,Yes,cv,success,0.16,2,,10-Fold CV,
2,ANOVA,No,Yes,loocv,success,0.19,2,,LOOCV,
2,ANOVA,No,No,split,success,0.14,2,,70/30 Split,
2,ANOVA,No,No,split,success,0.16,2,,80/20 Split,
2,ANOVA,No,No,cv,success,0.14,2,,5-Fold CV,
2,ANOVA,No,No,cv,success,0.17,2,,10-Fold CV,
2,ANOVA,No,No,loocv,success,0.23,2,,LOOCV,
2,SNR,Yes,Yes,split,success,0.74,2,,70/30 Split,
2,SNR,Yes,Yes,split,success,0.71,2,,80/20 Split,
2,SNR,Yes,Yes,cv,success,0.73,2,,5-Fold CV,
2,SNR,Yes,Yes,cv,success,0.75,2,,10-Fold CV,
2,SNR,Yes,Yes,loocv,success,0.76,2,,LOOCV,
2,SNR,Yes,No,split,success,0.71,2,,70/30 Split,
2,SNR,Yes,No,split,success,0.7,2,,80/20 Split,
2,SNR,Yes,No,cv,success,0.71,2,,5-Fold CV,
2,SNR,Yes,No,cv,success,0.83,2,,10-Fold CV,
2,SNR,Yes,No,loocv,success,0.8,2,,LOOCV,
2,SNR,No,Yes,split,success,0.72,2,,70/30 Split,
2,SNR,No,Yes,split,success,0.7,2,,80/20 Split,
2,SNR,No,Yes,cv,success,0.73,2,,5-Fold CV,
2,SNR,No,Yes,cv,success,0.73,2,,10-Fold CV,
2,SNR,No,Yes,loocv,success,0.76,2,,LOOCV,
