k,gene_balance,patient_balance,ANOVA,SCAD,SNR
2,No,No,0.17,5.52,0.73
2,No,Yes,0.16,99.35,0.73
2,Yes,No,0.16,4.23,0.75
2,Yes,Yes,0.16,2.34,0.74
4,No,No,0.37,3.78,1.84
4,No,Yes,0.42,3.86,1.89
4,Yes,No,0.33,3.94,1.7
4,Yes,Yes,0.29,4.03,1.62
8,No,No,0.41,2.52,1.62
8,No,Yes,0.3,2.77,1.74
8,Yes,No,0.31,3.75,1.7
8,Yes,Yes,0.3,2490.41,1.6
16,No,No,0.21,2.4,0.94
16,No,Yes,0.26,2.44,0.98
16,Yes,No,0.2,2.45,0.97
16,Yes,Yes,0.18,2.73,1.04
24,No,No,0.19,2.3,0.94
24,No,Yes,0.19,2.3,0.97
24,Yes,No,0.25,2.33,0.99
24,Yes,Yes,0.19,2.33,0.96
32,No,No,0.23,3.17,0.97
32,No,Yes,0.19,2.79,0.91
32,Yes,No,0.19,3.12,0.93
32,Yes,Yes,0.22,2.38,0.97
50,No,No,0.24,2.88,1.13
50,No,Yes,0.27,2.75,1.22
50,Yes,No,0.24,2.78,1.11
50,Yes,Yes,0.24,2.68,1.08
