k,method,gene_balance,patient_balance,validation,status,time_seconds,genes_selected,error,validation_name
2,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
2,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
2,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
2,SCAD,Yes,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
2,SCAD,Yes,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
2,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
2,SCAD,Yes,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
2,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
2,SCAD,Yes,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
2,SCAD,Yes,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
2,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
2,SCAD,No,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
2,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
2,SCAD,No,Yes,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
2,SCAD,No,Yes,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
2,SCAD,No,No,split,error,0.01,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
2,SCAD,No,No,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',80/20 Split
2,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',5-Fold CV
2,SCAD,No,No,cv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',10-Fold CV
2,SCAD,No,No,loocv,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',LOOCV
4,SCAD,Yes,Yes,split,error,0.0,0,[Errno 2] No such file or directory: 'data\\raw\\golub_train_data.csv',70/30 Split
