overall_rank,rank_within_class,gene_accession,gene_description,f_score,favors_class
1,1,M14483_rna1_s_at,PTMA gene extracted from Human prothymosin alpha mRNA,25.88140890843037,ALL
2,1,Y00433_at,GPX1 Glutathione peroxidase 1,25.045333561150926,AML
3,2,M11147_at,FTL Ferritin; light polypeptide,23.06885712612597,AML
4,3,M69043_at,MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,21.8863419550141,AML
5,4,Y00787_s_at,INTERLEUKIN-8 PRECURSOR,19.01909020141497,AML
6,2,M13792_at,ADA Adenosine deaminase,18.98130217364798,ALL
7,5,M27891_at,CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),14.930827070789926,AML
8,6,L20941_at,FTH1 Ferritin heavy chain,14.28479081991648,AML
9,7,L19779_at,Histone H2A.2 mRNA,13.521843093060921,AML
10,8,M96326_rna1_at,Azurocidin gene,11.984509022009998,AML
11,3,U23852_s_at,GB DEF = T-lymphocyte specific protein tyrosine kinase p56lck (lck) abberant mRNA,10.42914495181326,ALL
12,4,X76223_s_at,GB DEF = MAL gene exon 4,9.293437439308562,ALL
13,5,L20688_at,GDP-dissociation inhibitor protein (Ly-GDI) mRNA,7.3569605563891285,ALL
14,6,X00437_s_at,TCRB T-cell receptor; beta cluster,6.773289467079607,ALL
15,7,M12886_at,TCRB T-cell receptor; beta cluster,6.628978710818854,ALL
16,8,V00599_s_at,mRNA fragment encoding beta-tubulin. (from clone D-beta-1),5.360896872592281,ALL
