X95735_at,D49950_at,U50136_rna1_at,M23197_at,Y12670_at,M16038_at,X17042_at,M55150_at,M19507_at,M84526_at,M81933_at,M80254_at,X85116_rna1_s_at,U82759_at,L08246_at,M96326_rna1_at,cancer
178,214,1122,168,465,164,33,627,490,-323,94,-135,41,67,1018,627,
105,234,1016,244,639,797,1269,503,-49,-524,27,45,286,68,128,827,
92,35,64,154,450,265,1045,1565,989,-124,371,179,2682,472,1726,344,
399,191,1141,287,342,313,2450,767,706,203,224,-29,678,176,1092,851,
805,51,769,222,535,178,1537,927,199,-140,143,60,387,353,1415,350,
-428,128,1390,390,396,390,690,894,1293,-190,-81,-74,450,0,521,217,
252,-4,428,73,203,491,1183,181,18,-111,173,31,411,198,961,699,
-52,43,646,88,389,223,7064,1165,1213,-120,355,26,1745,242,612,2235,
-152,97,188,128,244,252,155,441,-60,-38,314,29,121,54,554,330,
-61,142,470,117,466,87,1327,309,-146,-31,445,-2,400,46,3889,621,
28,80,591,37,180,173,283,385,-30,-83,222,66,18,103,1524,173,
43,12,682,111,86,426,348,360,917,-321,301,4,167,51,2111,703,
509,105,931,130,396,190,1128,310,-139,-28,170,157,183,-23,3808,623,
417,146,1029,230,754,406,1357,665,311,-21,174,-27,474,157,1976,185,
1931,145,1049,74,648,462,2282,859,87,115,8,218,1763,386,4178,575,
395,84,1496,252,391,505,2128,623,777,16,182,236,316,349,2570,271,
2451,53,993,247,501,1448,4401,654,-113,149,70,257,362,96,3570,513,
878,74,861,159,244,217,2057,781,2269,-77,224,32,359,-29,319,1767,
162,2,973,252,244,185,1102,669,296,-2,296,43,401,-74,167,839,
373,205,571,122,101,147,4509,261,2681,-33,195,78,378,-40,424,2724,
2007,109,541,1533,442,1744,6371,801,747,7213,62,-30,1063,218,1066,1676,
3870,106,3568,769,4460,1522,7056,1534,9006,19568,206,365,781,300,4766,13774,
2335,211,2335,593,683,2089,6957,1339,10171,9851,-30,826,1512,677,3702,17279,
5814,346,2442,928,729,2735,7281,1895,9138,6595,274,440,1846,1375,2996,11036,
4403,204,1083,629,458,855,7248,1811,22222,4366,216,205,1834,280,1150,15196,
2287,96,721,827,318,444,8964,1147,9986,10120,-121,39,442,110,455,28647,
2871,151,2392,646,333,1020,3653,1656,14230,5903,-95,105,370,340,1533,2571,
2122,183,723,336,391,385,10449,880,27285,3717,275,82,3819,139,494,25625,
3186,175,1023,526,485,489,975,1263,28390,2130,71,97,834,407,5487,2297,
2194,218,2349,560,323,716,5086,610,17371,4667,11,96,1343,386,7003,4561,
543,65,775,341,410,460,3340,749,228,-189,165,332,715,217,1141,380,
5949,250,2502,1883,656,2686,5178,1476,5895,7924,-97,-37,867,359,3392,2270,
4174,455,3190,2204,1152,1499,6311,3220,3917,2705,-32,-127,778,1116,3074,2914,
7133,333,1030,1605,676,1837,5314,1295,2606,5249,2,-99,428,653,2787,1255,
