X95735_at,D49950_at,U50136_rna1_at,M23197_at,Y12670_at,M16038_at,X17042_at,M55150_at,M19507_at,M84526_at,M81933_at,M80254_at,X85116_rna1_s_at,U82759_at,L08246_at,M96326_rna1_at,cancer
1050,295,2137,781,1038,735,3628,1406,15791,-312,214,72,1639,262,853,1233,
700,9,1171,203,402,50,3711,842,135,-203,113,13,559,267,635,502,
408,7,747,287,258,399,5252,412,1452,41,44,267,530,15,2095,1296,
298,75,1124,261,600,365,177,654,56,-283,-240,-88,162,393,543,782,
247,33,842,58,270,302,597,691,88,-40,56,46,117,147,375,910,
307,129,1062,101,337,624,3460,1283,-29,-65,-11,109,169,118,2972,368,
693,218,942,288,716,873,392,915,-62,-367,167,-111,199,410,740,882,
-108,43,731,108,780,9,178,803,-36,-275,22,30,417,366,596,1177,
-223,9,966,155,262,273,848,822,-35,-231,124,94,-8,258,783,1337,
492,54,1175,167,167,144,1094,885,392,-36,89,45,176,409,1288,82,
390,99,883,141,314,540,1232,738,184,-76,89,10,203,102,1198,-144,
2224,297,1641,316,733,679,7858,1929,429,-21,313,373,2274,822,6718,548,
3297,259,2535,774,1467,2680,3259,1514,209,141,230,619,1017,1083,4136,976,
848,28,825,202,330,289,1232,707,3562,-102,120,18,540,67,623,478,
713,110,928,395,524,686,7972,732,938,290,114,139,334,119,2453,949,
3348,190,2545,555,1296,1305,8859,1647,2204,6569,243,550,2195,1137,1766,19615,
360,72,864,145,180,589,2525,1157,93,-140,77,136,452,188,742,838,
6218,326,3818,1130,647,2694,11003,2112,353,7372,229,425,478,1050,4915,9994,
3482,100,1373,443,1513,3223,8855,2693,8072,2000,282,864,1999,1099,4126,4108,
309,44,1398,309,574,108,416,1286,-109,-395,124,-53,-18,667,485,1268,
122,74,825,124,180,239,354,686,51,-243,111,-23,177,160,791,678,
433,117,805,128,190,268,1750,514,196,-53,52,19,342,59,827,29,
2612,311,2539,408,1064,2399,8479,2072,1003,6759,330,672,3397,805,5503,9933,
724,103,706,152,201,281,2408,548,22,-104,192,70,182,87,1405,160,
1671,70,2286,275,2538,784,1285,1753,5702,1569,407,307,4465,673,2083,2676,
926,117,1837,286,784,534,1150,1822,1441,-158,98,184,1263,-226,1016,7,
