overall_rank,rank_within_class,gene_accession,gene_description,f_score,favors_class
1,1,X17042_at,PRG1 Proteoglycan 1; secretory granule,46.13573111848128,AML
2,2,Y00787_s_at,INTERLEUKIN-8 PRECURSOR,41.58334475273399,AML
3,3,M27891_at,CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),39.11046313885508,AML
4,4,M28130_rna1_s_at,Interleukin 8 (IL8) gene,36.43034950613659,AML
5,5,M19045_f_at,LYZ Lysozyme,33.24403381727114,AML
6,6,M11147_at,FTL Ferritin; light polypeptide,33.111958662271846,AML
7,7,M96326_rna1_at,Azurocidin gene,33.00589740762877,AML
8,8,M69043_at,MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,32.69223048802295,AML
9,9,X14008_rna1_f_at,Lysozyme gene (EC 3.2.1.17),31.06191667296014,AML
10,10,J03801_f_at,LYZ Lysozyme,30.507266298935868,AML
11,11,L20941_at,FTH1 Ferritin heavy chain,28.769710247376846,AML
12,1,U22376_cds2_s_at,C-myb gene extracted from Human (c-myb) gene; complete primary cds; and five complete alternatively spliced cds,26.703990180997284,ALL
13,2,X59417_at,PROTEASOME IOTA CHAIN,20.908897098983587,ALL
14,12,L19779_at,Histone H2A.2 mRNA,19.957537838606445,AML
15,13,Z48501_s_at,GB DEF = Polyadenylate binding protein II,19.24071593558815,AML
16,3,U05259_rna1_at,MB-1 gene,15.56517489445512,ALL
17,14,Y00433_at,GPX1 Glutathione peroxidase 1,14.940594217790085,AML
18,15,M21119_s_at,LYZ Lysozyme,14.724108207263667,AML
19,4,D63874_at,HMG1 High-mobility group (nonhistone chromosomal) protein 1,14.040639082680245,ALL
20,5,M13792_at,ADA Adenosine deaminase,12.049803097092418,ALL
21,6,L06797_s_at,PROBABLE G PROTEIN-COUPLED RECEPTOR LCR1 HOMOLOG,11.896947937343883,ALL
22,7,M33680_at,26-kDa cell surface protein TAPA-1 mRNA,11.024213421832329,ALL
23,8,M17733_at,Thymosin beta-4 mRNA,6.973541844688392,ALL
24,9,X82240_rna1_at,TCL1 gene (T cell leukemia) extracted from H.sapiens mRNA for Tcell leukemia/lymphoma 1,6.849066615869231,ALL
25,10,L20688_at,GDP-dissociation inhibitor protein (Ly-GDI) mRNA,6.1981364689085705,ALL
26,16,M91036_rna1_at,G-gamma globin gene extracted from H.sapiens G-gamma globin and A-gamma globin genes's,6.089564102194931,AML
27,11,M14483_rna1_s_at,PTMA gene extracted from Human prothymosin alpha mRNA,5.9807074651576855,ALL
28,12,X58529_at,IGHM Immunoglobulin mu,5.873390781783339,ALL
29,13,HG2887-HT3031_at,Sry-Related Hmg-Box 12 Protein (Gb:X73039),5.604395032725145,ALL
30,14,M12886_at,TCRB T-cell receptor; beta cluster,3.5734042801939503,ALL
31,15,X00437_s_at,TCRB T-cell receptor; beta cluster,3.155688593581007,ALL
32,16,D86974_at,KIAA0220 gene; partial cds,1.8598773122316734,ALL
