M55150_at,M92287_at,U22376_cds2_s_at,X59417_at,X95735_at,U50136_rna1_at,AF009426_at,U57094_at,HG1612-HT1612_at,U59877_s_at,M31211_s_at,M31303_rna1_at,Z69881_at,D87078_at,S50223_at,M31523_at,U09087_s_at,M14483_rna1_s_at,M77142_at,U20998_at,U46499_at,Y12670_at,Y00433_at,L13278_at,D63880_at,L42572_at,X15414_at,D49950_at,U90546_at,U72342_at,X92106_at,M91432_at,cancer,patient
627,3633,2037,4646,178,1122,-24,313,4057,-492,475,5308,2131,152,43,1484,94,13624,33,359,91,465,8149,67,166,236,1076,214,195,4,130,335,ALL,39
503,522,1497,2141,105,1016,30,185,1585,-575,251,2364,320,363,373,606,5,7442,150,805,70,639,8741,216,-23,245,992,234,206,749,843,382,ALL,40
1565,5358,2105,3090,92,64,26,33,3600,-84,362,2158,1681,59,127,1751,135,15337,49,745,24,450,9176,100,376,272,1443,35,6,217,398,553,ALL,42
767,1338,2805,3198,399,1141,44,229,2425,-336,493,3042,1748,701,239,1052,100,6526,170,1803,63,342,12652,176,741,355,512,191,-86,590,6,638,ALL,47
927,8921,6996,10565,805,769,154,412,7275,-413,951,3994,3079,1473,776,2428,192,8049,260,2627,70,535,16129,461,579,816,3395,51,153,1892,962,1340,ALL,48
894,4174,2753,5279,-428,1390,45,309,2787,-578,356,5423,2427,410,-41,1467,213,20555,95,670,92,396,5916,119,391,274,1700,128,-226,66,623,799,ALL,49
181,6400,4240,3686,252,428,122,144,3367,-173,616,2678,1477,857,167,1479,114,20320,181,1797,45,203,6410,118,867,530,1300,-4,61,479,513,707,ALL,41
1165,3598,3821,3619,-52,646,158,377,2271,-48,329,2023,557,341,274,2148,26,10484,69,1288,165,389,12237,84,586,211,1281,43,-19,341,362,562,ALL,43
441,5600,3686,5420,-152,188,173,219,5083,-607,710,4112,1577,468,216,1955,200,19318,-112,1964,-87,244,7156,16,560,320,1343,97,25,320,289,575,ALL,44
309,7477,2943,3770,-61,470,36,256,2621,-369,467,2462,530,317,236,1275,32,10778,-166,739,14,466,7838,86,462,129,1576,142,0,78,351,747,ALL,45
