U50136_rna1_at,X95735_at,M55150_at,M16038_at,Y12670_at,M23197_at,D49950_at,X17042_at,U82759_at,M84526_at,L08246_at,Y00787_s_at,M80254_at,U46751_at,M27891_at,M62762_at,M63138_at,M28130_rna1_s_at,M81695_s_at,X85116_rna1_s_at,M57710_at,U12471_cds1_at,M19045_f_at,M11147_at,M96326_rna1_at,M69043_at,M83652_s_at,U67963_at,X14008_rna1_f_at,M22960_at,J03801_f_at,X58431_rna2_s_at,cancer,patient
1122,178,627,164,465,168,214,33,67,-323,1018,741,-135,687,-65,1738,951,335,393,41,-219,-14,912,6288,627,7285,135,366,803,-178,663,311,ALL,39
1016,105,503,797,639,244,234,1269,68,-524,128,200,45,582,68,708,1008,166,802,286,282,411,541,3412,827,2210,1030,326,480,30,443,294,ALL,40
64,92,1565,265,450,154,35,1045,472,-124,1726,1012,179,3181,250,2274,1107,222,772,2682,4508,649,4259,10245,344,9757,6,593,2635,207,4057,239,ALL,42
1141,399,767,313,342,287,191,2450,176,203,1092,197,-29,1443,107,1828,1405,16,163,678,527,75,1040,6421,851,1128,252,550,983,367,926,388,ALL,47
769,805,927,178,535,222,51,1537,353,-140,1415,96,60,3187,-177,1946,1642,0,216,387,185,194,203,10431,350,4069,170,613,298,361,271,275,ALL,48
1390,-428,894,390,396,390,128,690,0,-190,521,198,-74,2098,394,417,2622,-309,478,450,-341,86,2421,3219,217,5845,-400,706,2081,256,2272,732,ALL,49
428,252,181,491,203,73,-4,1183,198,-111,961,3,31,1111,-125,1188,1208,150,195,411,-45,154,1141,4639,699,2842,-239,327,1167,597,1286,145,ALL,41
646,-52,1165,223,389,88,43,7064,242,-120,612,93,26,1288,-96,951,1502,-28,230,1745,1841,-36,4329,8790,2235,1062,-31,341,4451,648,4516,492,ALL,43
188,-152,441,252,244,128,97,155,54,-38,554,16,29,974,502,1393,1169,109,128,121,72,183,1424,5841,330,2208,-177,373,1529,699,1286,232,ALL,44
470,-61,309,87,466,117,142,1327,46,-31,3889,149,-2,726,78,1062,1551,80,143,400,54,278,550,9981,621,4443,48,382,310,601,555,185,ALL,45
591,28,385,173,180,37,80,283,103,-83,1524,11,66,938,49,586,1750,-60,177,18,-67,160,746,10026,173,4024,106,103,701,776,1160,209,ALL,46
682,43,360,426,86,111,12,348,51,-321,2111,236,4,795,239,1025,1243,154,334,167,81,185,2445,6574,703,11194,142,284,2052,631,2102,119,ALL,70
931,509,310,190,396,130,105,1128,-23,-28,3808,2525,157,3367,-39,1494,1297,1036,416,183,-20,134,751,8020,623,15457,-128,598,876,182,988,283,ALL,71
1029,417,665,406,754,230,146,1357,157,-21,1976,257,-27,2730,453,2122,558,125,358,474,43,115,499,8259,185,5810,-189,653,343,265,519,350,ALL,72
1049,1931,859,462,648,74,145,2282,386,115,4178,257,218,3496,163,1618,1576,245,239,1763,167,216,2258,8556,575,5342,338,2062,2068,1021,2586,152,ALL,68
1496,395,623,505,391,252,84,2128,349,16,2570,151,236,3860,-166,1760,2065,68,518,316,118,120,1187,11688,271,5450,358,646,969,456,1119,264,ALL,69
993,2451,654,1448,501,247,53,4401,96,149,3570,5830,257,2977,2090,2601,2718,2147,778,362,2283,134,3380,14938,513,6227,403,842,3050,528,3274,320,ALL,67
861,878,781,217,244,159,74,2057,-29,-77,319,32,32,1130,359,1170,768,-69,446,359,82,107,4975,6448,1767,1105,142,406,3360,374,4606,352,ALL,55
973,162,669,185,244,252,2,1102,-74,-2,167,25,43,927,553,1246,1815,74,314,401,270,239,1910,5598,839,1624,-226,236,1977,239,1745,558,ALL,56
571,373,261,147,101,122,205,4509,-40,-33,424,-104,78,1026,180,1769,2577,-15,325,378,195,66,4524,6456,2724,854,147,195,3764,343,3845,485,ALL,59
541,2007,801,1744,442,1533,109,6371,218,7213,1066,593,-30,2601,17846,3266,13422,10,1021,1063,9988,198,14911,23869,1676,3861,3599,333,15202,3432,14988,589,AML,52
3568,3870,1534,1522,4460,769,106,7056,300,19568,4766,8252,365,9754,21404,3457,5946,3628,1212,781,2280,334,7728,21043,13774,4705,1465,997,7982,1057,8256,1112,AML,53
2335,2335,1339,2089,683,593,211,6957,677,9851,3702,20459,826,7397,2745,2120,2815,19878,772,1512,635,434,5104,15497,17279,11291,852,893,4980,1617,4300,872,AML,51
2442,5814,1895,2735,729,928,346,7281,1375,6595,2996,13144,440,6793,11686,3427,6223,9620,2599,1846,1214,175,7148,20576,11036,15105,633,1989,6808,1959,6628,1009,AML,50
1083,4403,1811,855,458,629,204,7248,280,4366,1150,20,205,2380,10737,2860,6179,155,696,1834,434,238,1649,1613,15196,968,1392,487,1867,1385,2704,356,AML,54
721,2287,1147,444,318,827,96,8964,110,10120,455,127,39,1987,3168,1662,5971,-58,623,442,76,192,2048,14092,28647,518,37,585,2114,1880,3111,860,AML,57
2392,2871,1656,1020,333,646,151,3653,340,5903,1533,2132,105,1369,14193,1489,3913,661,995,370,618,71,12731,19612,2571,3857,1987,528,11007,222,11693,574,AML,58
723,2122,880,385,391,336,183,10449,139,3717,494,160,82,1210,2460,1933,2442,74,444,3819,187,176,3267,7833,25625,924,207,555,4193,1048,2501,249,AML,60
1023,3186,1263,489,485,526,175,975,407,2130,5487,13968,97,2518,123,2600,2776,5864,509,834,-91,132,3008,17887,2297,5286,537,1202,3017,1850,3758,446,AML,61
2349,2194,610,716,323,560,218,5086,386,4667,7003,7229,96,2107,12735,2631,2172,2964,345,1343,405,280,2703,22494,4561,9837,1336,489,2906,1023,2789,460,AML,65
775,543,749,460,410,341,65,3340,217,-189,1141,621,332,1084,2103,960,1775,130,226,715,534,163,1260,8252,380,4005,562,391,945,447,1208,197,AML,66
2502,5949,1476,2686,656,1883,250,5178,359,7924,3392,9612,-37,2381,19680,4514,6215,2931,2063,867,5097,256,7202,21048,2270,18579,6155,851,7392,2444,7528,617,AML,63
3190,4174,3220,1499,1152,2204,455,6311,1116,2705,3074,2667,-127,3334,3293,2803,11451,73,1580,778,243,143,1097,6316,2914,2483,1089,1707,891,2719,688,1003,AML,64
1030,7133,1295,1837,676,1605,333,5314,653,5249,2787,322,-99,4276,24178,4346,7323,37,1962,428,6415,155,13265,28552,1255,6443,3308,481,14347,2801,8201,-423,AML,62
