U50136_rna1_at,X95735_at,M55150_at,M16038_at,Y12670_at,M23197_at,D49950_at,X17042_at,U82759_at,M84526_at,L08246_at,Y00787_s_at,M80254_at,U46751_at,M27891_at,M62762_at,M63138_at,M28130_rna1_s_at,M81695_s_at,X85116_rna1_s_at,M57710_at,U12471_cds1_at,M19045_f_at,M11147_at,M96326_rna1_at,M69043_at,M83652_s_at,U67963_at,X14008_rna1_f_at,M22960_at,J03801_f_at,X58431_rna2_s_at,cancer,patient
1124,298,654,365,600,261,75,177,393,-283,543,333,-88,1298,303,835,1410,292,695,162,-115,160,382,5418,782,1489,-70,555,557,330,921,424,ALL,1
1062,307,1283,624,337,101,129,3460,118,-65,2972,5345,109,1379,1358,3072,2325,2062,812,169,2171,134,3606,17348,368,6084,364,1063,2716,811,4101,368,ALL,2
1398,309,1286,108,574,309,44,416,667,-395,485,301,-53,1496,254,609,2789,-25,810,-18,-26,167,2997,6156,1268,2281,-208,921,1716,212,2799,717,ALL,3
942,693,915,873,716,288,218,392,410,-367,740,241,-111,1401,-304,935,1132,-2,599,199,22,104,1331,7070,882,2178,34,348,1143,584,1166,537,ALL,4
928,713,732,686,524,395,110,7972,119,290,2453,93,139,1894,-86,1665,1269,138,282,334,244,145,3069,9017,949,1094,218,589,2917,1018,3250,170,ALL,5
842,247,691,302,270,58,33,597,147,-40,375,215,46,528,1168,499,1854,23,711,117,108,81,2850,6221,910,1513,401,277,3300,206,3126,577,ALL,6
1066,52,853,325,463,84,115,403,735,-366,961,159,-77,1747,-233,764,2735,107,556,378,-45,122,1201,4746,826,2866,255,509,830,655,1053,586,ALL,7
1668,-215,1238,244,689,251,32,140,248,-656,404,455,-214,1514,-247,1323,1962,-19,1281,571,674,335,1947,7881,1302,2129,-100,490,1683,-187,1751,589,ALL,8
966,-223,822,273,262,155,9,848,258,-231,783,445,94,803,336,1741,2900,104,746,-8,103,131,2629,9431,1337,3862,521,553,1965,1176,2343,724,ALL,9
1175,492,885,144,167,167,54,1094,409,-36,1288,522,45,1939,498,1188,1855,-35,513,176,252,264,2148,5092,82,1974,-169,609,1781,100,1502,379,ALL,10
626,-25,680,34,174,140,38,1343,306,-152,733,1278,40,587,-376,1870,1471,189,461,139,9,195,969,6027,737,2561,-276,600,833,164,964,415,ALL,11
747,408,412,399,258,287,7,5252,15,41,2095,3684,267,1347,107,1030,1763,1855,494,530,988,104,3939,15280,1296,7901,252,273,4009,446,2599,201,ALL,12
706,724,548,281,201,152,103,2408,87,-104,1405,116,70,1489,-97,1482,786,3,315,182,-42,150,210,6183,160,3602,4,576,93,196,123,191,ALL,13
864,360,1157,589,180,145,72,2525,188,-140,742,94,136,1784,820,892,2337,9,1030,452,389,135,3633,13077,838,1204,493,1016,3576,1216,3264,283,ALL,14
515,938,387,854,625,81,158,2133,99,-198,1718,29,135,2286,76,1306,2035,91,333,304,-46,128,735,8506,520,2859,114,548,637,664,434,172,ALL,15
825,848,707,289,330,202,28,1232,67,-102,623,38,18,944,36,593,1910,73,426,540,-48,182,637,3720,478,1259,-91,451,635,295,975,450,ALL,16
1837,926,1822,534,784,286,117,1150,-226,-158,1016,282,184,1888,375,2376,4215,17,588,1263,-83,227,973,12676,7,2689,78,1238,817,1080,1133,790,ALL,17
883,390,738,540,314,141,99,1232,102,-76,1198,136,10,2111,22,542,711,41,666,203,944,157,1263,9783,-144,2753,-163,1043,1631,327,1261,432,ALL,18
