X95735_at,D49950_at,U50136_rna1_at,M23197_at,Y12670_at,M16038_at,X17042_at,M55150_at,M19507_at,M84526_at,M81933_at,M80254_at,X85116_rna1_s_at,U82759_at,L08246_at,M96326_rna1_at,M27891_at,X04085_rna1_at,M22960_at,M83652_s_at,U46751_at,U12471_cds1_at,M62762_at,M63138_at,X52056_at,U37055_rna1_s_at,Y00787_s_at,X70297_at,Y00339_s_at,M95678_at,M28130_rna1_s_at,M57710_at,cancer
1050,295,2137,781,1038,735,3628,1406,15791,-312,214,72,1639,262,853,1233,1481,2140,1885,565,1106,322,1125,3909,31,-745,216,670,1048,3623,-45,72,
700,9,1171,203,402,50,3711,842,135,-203,113,13,559,267,635,502,-229,747,271,-49,1395,144,933,1371,-138,147,9270,202,435,1563,4271,560,
408,7,747,287,258,399,5252,412,1452,41,44,267,530,15,2095,1296,107,294,446,252,1347,104,1030,1763,-159,68,3684,142,-31,455,1855,988,
298,75,1124,261,600,365,177,654,56,-283,-240,-88,162,393,543,782,303,1057,330,-70,1298,160,835,1410,-267,94,333,307,-17,1275,292,-115,
247,33,842,58,270,302,597,691,88,-40,56,46,117,147,375,910,1168,537,206,401,528,81,499,1854,-743,-208,215,26,-12,946,23,108,
307,129,1062,101,337,624,3460,1283,-29,-65,-11,109,169,118,2972,368,1358,1395,811,364,1379,134,3072,2325,421,-130,5345,186,-17,1876,2062,2171,
693,218,942,288,716,873,392,915,-62,-367,167,-111,199,410,740,882,-304,1655,584,34,1401,104,935,1132,5,-7,241,467,-51,917,-2,22,
-108,43,731,108,780,9,178,803,-36,-275,22,30,417,366,596,1177,425,431,131,121,585,74,672,1297,-896,-429,146,260,-81,512,148,-85,
-223,9,966,155,262,273,848,822,-35,-231,124,94,-8,258,783,1337,336,633,1176,521,803,131,1741,2900,-548,82,445,269,-71,1749,104,103,
492,54,1175,167,167,144,1094,885,392,-36,89,45,176,409,1288,82,498,463,100,-169,1939,264,1188,1855,-408,205,522,223,-56,1193,-35,252,
390,99,883,141,314,540,1232,738,184,-76,89,10,203,102,1198,-144,22,220,327,-163,2111,157,542,711,-445,-99,136,180,-48,742,41,944,
2224,297,1641,316,733,679,7858,1929,429,-21,313,373,2274,822,6718,548,1073,3077,866,1179,7113,238,2702,4214,225,-285,15202,346,1353,2292,10476,159,
3297,259,2535,774,1467,2680,3259,1514,209,141,230,619,1017,1083,4136,976,12339,2027,1571,657,3088,264,4249,7373,595,13,12715,522,-18,1942,7108,1853,
848,28,825,202,330,289,1232,707,3562,-102,120,18,540,67,623,478,36,1143,295,-91,944,182,593,1910,-311,209,38,336,-119,1270,73,-48,
713,110,928,395,524,686,7972,732,938,290,114,139,334,119,2453,949,-86,2000,1018,218,1894,145,1665,1269,484,28,93,146,-76,1333,138,244,
3348,190,2545,555,1296,1305,8859,1647,2204,6569,243,550,2195,1137,1766,19615,6962,6000,1092,868,3717,217,1736,2558,1359,-343,3104,2328,1971,1354,1653,5824,
360,72,864,145,180,589,2525,1157,93,-140,77,136,452,188,742,838,820,662,1216,493,1784,135,892,2337,-298,89,94,196,0,2125,9,389,
6218,326,3818,1130,647,2694,11003,2112,353,7372,229,425,478,1050,4915,9994,14555,5065,4079,1537,11618,213,3553,8793,2147,-383,6506,749,176,2445,2971,7142,
3482,100,1373,443,1513,3223,8855,2693,8072,2000,282,864,1999,1099,4126,4108,3654,3072,702,562,5749,304,1871,2771,865,100,21147,607,2982,4832,13176,6704,
309,44,1398,309,574,108,416,1286,-109,-395,124,-53,-18,667,485,1268,254,823,212,-208,1496,167,609,2789,-1046,118,301,282,27,864,-25,-26,
122,74,825,124,180,239,354,686,51,-243,111,-23,177,160,791,678,-102,350,130,-175,1739,126,1977,949,-370,-134,206,243,-133,596,155,88,
433,117,805,128,190,268,1750,514,196,-53,52,19,342,59,827,29,66,773,305,-65,1437,98,1114,1330,64,173,183,231,-119,1253,29,43,
2612,311,2539,408,1064,2399,8479,2072,1003,6759,330,672,3397,805,5503,9933,13296,2887,1916,157,6903,417,3808,7125,1500,-449,19361,342,1824,2613,12979,6247,
724,103,706,152,201,281,2408,548,22,-104,192,70,182,87,1405,160,-97,1220,196,4,1489,150,1482,786,495,80,116,114,49,965,3,-42,
1671,70,2286,275,2538,784,1285,1753,5702,1569,407,307,4465,673,2083,2676,1661,4681,456,-245,7061,271,3594,2275,-324,-472,10043,475,982,2699,5072,6530,
926,117,1837,286,784,534,1150,1822,1441,-158,98,184,1263,-226,1016,7,375,2474,1080,78,1888,227,2376,4215,400,337,282,199,-71,1747,17,-83,
