X95735_at,D49950_at,U50136_rna1_at,M23197_at,Y12670_at,M16038_at,X17042_at,M55150_at,M19507_at,M84526_at,M81933_at,M80254_at,X85116_rna1_s_at,U82759_at,L08246_at,M96326_rna1_at,M27891_at,X04085_rna1_at,M22960_at,M83652_s_at,U46751_at,U12471_cds1_at,M62762_at,M63138_at,X52056_at,U37055_rna1_s_at,Y00787_s_at,X70297_at,Y00339_s_at,M95678_at,M28130_rna1_s_at,M57710_at,cancer
178,214,1122,168,465,164,33,627,490,-323,94,-135,41,67,1018,627,-65,847,-178,135,687,-14,1738,951,-574,231,741,299,-19,1165,335,-219,
105,234,1016,244,639,797,1269,503,-49,-524,27,45,286,68,128,827,68,784,30,1030,582,411,708,1008,-348,-483,200,373,-42,1774,166,282,
92,35,64,154,450,265,1045,1565,989,-124,371,179,2682,472,1726,344,250,5517,207,6,3181,649,2274,1107,-244,125,1012,-16,2113,2376,222,4508,
399,191,1141,287,342,313,2450,767,706,203,224,-29,678,176,1092,851,107,1876,367,252,1443,75,1828,1405,336,-294,197,107,470,1187,16,527,
805,51,769,222,535,178,1537,927,199,-140,143,60,387,353,1415,350,-177,1976,361,170,3187,194,1946,1642,226,170,96,218,263,1859,0,185,
-428,128,1390,390,396,390,690,894,1293,-190,-81,-74,450,0,521,217,394,521,256,-400,2098,86,417,2622,-588,349,198,165,-89,703,-309,-341,
252,-4,428,73,203,491,1183,181,18,-111,173,31,411,198,961,699,-125,2216,597,-239,1111,154,1188,1208,252,64,3,6,-26,424,150,-45,
-52,43,646,88,389,223,7064,1165,1213,-120,355,26,1745,242,612,2235,-96,3033,648,-31,1288,-36,951,1502,-298,-165,93,122,2093,2312,-28,1841,
-152,97,188,128,244,252,155,441,-60,-38,314,29,121,54,554,330,502,1105,699,-177,974,183,1393,1169,-1,-14,16,-42,-88,169,109,72,
-61,142,470,117,466,87,1327,309,-146,-31,445,-2,400,46,3889,621,78,1058,601,48,726,278,1062,1551,53,269,149,-37,-77,474,80,54,
28,80,591,37,180,173,283,385,-30,-83,222,66,18,103,1524,173,49,804,776,106,938,160,586,1750,-124,17,11,98,4,555,-60,-67,
43,12,682,111,86,426,348,360,917,-321,301,4,167,51,2111,703,239,812,631,142,795,185,1025,1243,-102,-224,236,20,-44,775,154,81,
509,105,931,130,396,190,1128,310,-139,-28,170,157,183,-23,3808,623,-39,318,182,-128,3367,134,1494,1297,3,-149,2525,116,-17,981,1036,-20,
417,146,1029,230,754,406,1357,665,311,-21,174,-27,474,157,1976,185,453,498,265,-189,2730,115,2122,558,-130,-11,257,159,106,1342,125,43,
1931,145,1049,74,648,462,2282,859,87,115,8,218,1763,386,4178,575,163,5407,1021,338,3496,216,1618,1576,406,-33,257,-54,-52,1783,245,167,
395,84,1496,252,391,505,2128,623,777,16,182,236,316,349,2570,271,-166,2228,456,358,3860,120,1760,2065,266,48,151,102,-9,1844,68,118,
2451,53,993,247,501,1448,4401,654,-113,149,70,257,362,96,3570,513,2090,2504,528,403,2977,134,2601,2718,560,69,5830,384,-70,1297,2147,2283,
878,74,861,159,244,217,2057,781,2269,-77,224,32,359,-29,319,1767,359,651,374,142,1130,107,1170,768,277,-27,32,62,-59,1445,-69,82,
