X95735_at,D49950_at,U50136_rna1_at,M23197_at,cancer
1050,295,2137,781,
700,9,1171,203,
408,7,747,287,
298,75,1124,261,
247,33,842,58,
307,129,1062,101,
693,218,942,288,
-108,43,731,108,
-223,9,966,155,
492,54,1175,167,
390,99,883,141,
2224,297,1641,316,
3297,259,2535,774,
848,28,825,202,
713,110,928,395,
3348,190,2545,555,
360,72,864,145,
6218,326,3818,1130,
3482,100,1373,443,
309,44,1398,309,
122,74,825,124,
433,117,805,128,
2612,311,2539,408,
724,103,706,152,
1671,70,2286,275,
926,117,1837,286,
