X95735_at,D49950_at,U50136_rna1_at,M23197_at,cancer
178,214,1122,168,
105,234,1016,244,
92,35,64,154,
399,191,1141,287,
805,51,769,222,
-428,128,1390,390,
252,-4,428,73,
-52,43,646,88,
-152,97,188,128,
-61,142,470,117,
28,80,591,37,
43,12,682,111,
509,105,931,130,
417,146,1029,230,
1931,145,1049,74,
395,84,1496,252,
2451,53,993,247,
878,74,861,159,
162,2,973,252,
373,205,571,122,
2007,109,541,1533,
3870,106,3568,769,
2335,211,2335,593,
5814,346,2442,928,
4403,204,1083,629,
2287,96,721,827,
2871,151,2392,646,
2122,183,723,336,
3186,175,1023,526,
2194,218,2349,560,
543,65,775,341,
5949,250,2502,1883,
4174,455,3190,2204,
7133,333,1030,1605,
