overall_rank,rank_within_class,gene_accession,gene_description,f_score,favors_class
1,1,M92287_at,CCND3 Cyclin D3,47.2787064206462,ALL
2,2,X59417_at,PROTEASOME IOTA CHAIN,41.9744450257852,ALL
3,3,M14483_rna1_s_at,PTMA gene extracted from Human prothymosin alpha mRNA,25.88140890843037,ALL
4,1,Y00433_at,GPX1 Glutathione peroxidase 1,25.045333561150926,AML
5,2,M11147_at,FTL Ferritin; light polypeptide,23.06885712612597,AML
6,4,X52851_rna1_at,Peptidylprolyl isomerase gene extracted from Human cyclophilin gene for cyclophilin (EC 5.2.1.8),22.73804871496976,ALL
7,3,X17042_at,PRG1 Proteoglycan 1; secretory granule,22.120081709810794,AML
8,4,M69043_at,MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,21.8863419550141,AML
9,5,Y00787_s_at,INTERLEUKIN-8 PRECURSOR,19.01909020141497,AML
10,5,M13792_at,ADA Adenosine deaminase,18.98130217364798,ALL
11,6,M28130_rna1_s_at,Interleukin 8 (IL8) gene,15.82952601422224,AML
12,6,M11353_at,EEF1G Translation elongation factor 1 gamma,15.567825069069027,ALL
13,7,M27891_at,CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),14.930827070789926,AML
14,8,L20941_at,FTH1 Ferritin heavy chain,14.28479081991648,AML
15,9,L19779_at,Histone H2A.2 mRNA,13.521843093060921,AML
16,7,S54005_s_at,THYMOSIN BETA-10,13.32341318626524,ALL
17,10,M96326_rna1_at,Azurocidin gene,11.984509022009998,AML
18,11,M19045_f_at,LYZ Lysozyme,11.752302770620412,AML
19,12,X14008_rna1_f_at,Lysozyme gene (EC 3.2.1.17),11.60587345509339,AML
20,8,X03934_at,GB DEF = T-cell antigen receptor gene T3-delta,11.326945525748782,ALL
21,9,U23852_s_at,GB DEF = T-lymphocyte specific protein tyrosine kinase p56lck (lck) abberant mRNA,10.42914495181326,ALL
22,13,J03801_f_at,LYZ Lysozyme,10.275703106288647,AML
23,14,HG3576-HT3779_f_at,Major Histocompatibility Complex; Class Ii Beta W52,10.072102479746217,AML
24,15,M19507_at,MPO Myeloperoxidase,9.537460732023908,AML
25,10,X76223_s_at,GB DEF = MAL gene exon 4,9.293437439308562,ALL
26,11,M17733_at,Thymosin beta-4 mRNA,9.039395611101916,ALL
27,12,L06797_s_at,PROBABLE G PROTEIN-COUPLED RECEPTOR LCR1 HOMOLOG,8.181798520728991,ALL
28,13,L20688_at,GDP-dissociation inhibitor protein (Ly-GDI) mRNA,7.3569605563891285,ALL
29,14,U14603_at,Protein tyrosine phosphatase PTPCAAX2 (hPTPCAAX2) mRNA,7.169145823799007,ALL
30,15,X00437_s_at,TCRB T-cell receptor; beta cluster,6.773289467079607,ALL
31,16,M12886_at,TCRB T-cell receptor; beta cluster,6.628978710818854,ALL
32,16,M63438_s_at,GLUL Glutamate-ammonia ligase (glutamine synthase),6.524283477176534,AML
33,17,M13560_s_at,PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR,6.0612438418373005,AML
34,17,U50743_at,Na;K-ATPase gamma subunit mRNA,6.029309739455019,ALL
35,18,U49835_s_at,CHIT1 Chitinase 1,5.755905559593584,ALL
36,18,U01317_cds4_at,Delta-globin gene extracted from Human beta globin region on chromosome 11,5.5358776557185205,AML
37,19,M21119_s_at,LYZ Lysozyme,5.3890087680808705,AML
38,19,V00599_s_at,mRNA fragment encoding beta-tubulin. (from clone D-beta-1),5.360896872592281,ALL
39,20,J04990_at,CATHEPSIN G PRECURSOR,5.211343808990242,AML
40,21,X65965_s_at,GB DEF = SOD-2 gene for manganese superoxide dismutase,4.857623257243299,AML
41,20,M16279_at,MIC2 Antigen identified by monoclonal antibodies 12E7; F21 and O13,4.237292602546624,ALL
42,22,M91036_rna1_at,G-gamma globin gene extracted from H.sapiens G-gamma globin and A-gamma globin genes's,4.051168153927526,AML
43,21,AFFX-HUMRGE/M10098_3_at,AFFX-HUMRGE/M10098_3_at (endogenous control),3.745849827026884,ALL
44,22,AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_5_at (endogenous control),3.5678619610036515,ALL
45,23,V00594_s_at,Metallothionein isoform 2,3.0784959781795704,AML
46,23,X00351_f_at,ACTB Actin; beta,2.8184845842088815,ALL
47,24,X98482_r_at,GB DEF = TNNT2 gene exon 11,2.539917423170757,ALL
48,24,X00274_at,HLA CLASS II HISTOCOMPATIBILITY ANTIGEN; DR ALPHA CHAIN PRECURSOR,2.0944847526772787,AML
49,25,D49824_s_at,GB DEF = HLA-B null allele mRNA,1.3214189201752837,AML
50,25,D86974_at,KIAA0220 gene; partial cds,1.2684300954176164,ALL
