U22376_cds2_s_at,M92287_at,X59417_at,Z69881_at,M77142_at,U09087_s_at,M91432_at,X74262_at,AF009426_at,M31211_s_at,HG1612-HT1612_at,U20998_at,M31303_rna1_at,L49229_f_at,S50223_at,L47738_at,U90546_r_at,L13278_at,D87078_at,U49395_at,D63880_at,L42572_at,U83115_at,U35451_at,M13792_at,M55150_at,X95735_at,U46499_at,U50136_rna1_at,M16038_at,X85116_rna1_s_at,M84526_at,U57094_at,M69043_at,U59877_s_at,U46751_at,M80254_at,Y00787_s_at,M23197_at,D49950_at,M28130_rna1_s_at,Y00433_at,M27891_at,M11147_at,U82759_at,S82470_at,X17042_at,M14636_at,L09209_s_at,M96326_rna1_at,cancer,patient
2037,3633,4646,2131,33,94,335,176,-24,475,4057,359,5308,181,43,837,195,67,152,687,166,236,1202,181,4142,627,178,91,1122,164,41,-323,313,7285,-492,687,-135,741,168,214,335,8149,-65,6288,67,876,33,-48,7,627,ALL,39
1497,522,2141,320,150,5,382,490,30,251,1585,805,2364,178,373,180,206,216,363,652,-23,245,748,269,1462,503,105,70,1016,797,286,-524,185,2210,-575,582,45,200,244,234,166,8741,68,3412,68,1487,1269,46,360,827,ALL,40
4240,6400,3686,1477,181,114,707,1258,122,616,3367,1797,2678,64,167,770,61,118,857,1313,867,530,1754,417,4714,181,252,45,428,491,411,-111,144,2842,-173,1111,31,3,73,-4,150,6410,-125,4639,198,887,1183,48,565,699,ALL,41
2105,5358,3090,1681,49,135,553,678,26,362,3600,745,2158,123,127,273,6,100,59,1002,376,272,554,136,2208,1565,92,24,64,265,2682,-124,33,9757,-84,3181,179,1012,154,35,222,9176,250,10245,472,522,1045,63,911,344,ALL,42
3821,3598,3619,557,69,26,562,699,158,329,2271,1288,2023,48,274,439,-19,84,341,641,586,211,1485,108,3922,1165,-52,165,646,223,1745,-120,377,1062,-48,1288,26,93,88,43,-28,12237,-96,8790,242,608,7064,129,216,2235,ALL,43
3686,5600,5420,1577,-112,200,575,1236,173,710,5083,1964,4112,69,216,579,25,16,468,438,560,320,1079,552,1850,441,-152,-87,188,252,121,-38,219,2208,-607,974,29,16,128,97,109,7156,502,5841,54,458,155,51,289,330,ALL,44
2943,7477,3770,530,-166,32,747,555,36,467,2621,739,2462,72,236,444,0,86,317,541,462,129,717,27,4662,309,-61,14,470,87,400,-31,256,4443,-369,726,-2,149,117,142,80,7838,78,9981,46,818,1327,120,1110,621,ALL,45
2809,6841,3972,1103,70,77,392,384,0,475,2388,431,1520,158,177,570,186,69,34,547,368,245,1075,284,2931,385,28,-15,591,173,18,-83,171,4024,-251,938,66,11,37,80,-60,8085,49,10026,103,615,283,10,291,173,ALL,46
2805,1338,3198,1748,170,100,638,1903,44,493,2425,1803,3042,109,239,575,-86,176,701,956,741,355,565,42,3681,767,399,63,1141,313,678,203,229,1128,-336,1443,-29,197,287,191,16,12652,107,6421,176,1281,2450,163,605,851,ALL,47
6996,8921,10565,3079,260,192,1340,2123,154,951,7275,2627,3994,2,776,603,153,461,1473,781,579,816,975,48,7756,927,805,70,769,178,387,-140,412,4069,-413,3187,60,96,222,51,0,16129,-177,10431,353,688,1537,132,920,350,ALL,48
2753,4174,5279,2427,95,213,799,424,45,356,2787,670,5423,-14,-41,763,-226,119,410,2582,391,274,5847,189,4813,894,-428,92,1390,390,450,-190,309,5845,-578,2098,-74,198,390,128,-309,5916,394,3219,0,696,690,-2,-62,217,ALL,49
1238,1451,1683,219,57,45,225,148,26,70,815,530,1079,48,48,578,-27,38,-142,407,164,286,809,82,1243,1895,5814,1582,2442,2735,1846,6595,454,15105,-39,6793,440,13144,928,346,9620,15832,11686,20576,1375,2257,7281,181,3223,11036,AML,50
376,583,764,537,0,50,126,148,4,64,522,506,1140,52,2,446,-90,-80,-221,623,209,181,504,160,1319,1339,2335,1269,2335,2089,1512,9851,263,11291,-543,7397,826,20459,593,211,19878,13818,2745,15497,677,2785,6957,112,1518,17279,AML,51
407,1342,1439,541,29,-4,163,401,-17,248,649,267,775,25,-22,455,-108,3,-29,144,131,264,418,70,1027,801,2007,892,541,1744,1063,7213,312,3861,408,2601,-30,593,1533,109,10,17753,17846,23869,218,2032,6371,250,3016,1676,AML,52
2585,1062,666,193,248,-1,135,162,-75,158,4118,599,1320,39,45,118,-123,-21,701,888,94,100,1013,76,6330,1534,3870,1233,3568,1522,781,19568,446,4705,-513,9754,365,8252,769,106,3628,10910,21404,21043,300,2952,7056,54,3162,13774,AML,53
2685,626,1629,1546,84,185,413,784,-14,575,690,1666,3085,213,26,269,-18,76,480,810,335,338,671,333,648,1811,4403,643,1083,855,1834,4366,932,968,81,2380,205,20,629,204,155,21734,10737,1613,280,2110,7248,525,5704,15196,AML,54
1188,3375,2833,426,-17,-12,339,723,14,439,2626,444,2374,54,-42,287,32,-4,142,571,449,237,763,289,2506,781,878,27,861,217,359,-77,174,1105,-224,1130,32,32,159,74,-69,11855,359,6448,-29,981,2057,12,646,1767,ALL,55
2075,2417,648,5054,72,131,496,834,-46,190,3229,862,3038,33,56,1009,-61,33,401,736,494,195,2616,136,3777,669,162,167,973,185,401,-2,164,1624,-296,927,43,25,252,2,74,4405,553,5598,-74,947,1102,54,417,839,ALL,56
2295,851,469,1271,119,19,196,330,15,21,397,648,1428,-37,-21,21,-92,-29,277,387,326,121,446,186,1004,1147,2287,1267,721,444,442,10120,369,518,-19,1987,39,127,827,96,-58,6932,3168,14092,110,1222,8964,526,2458,28647,AML,57
562,751,420,250,-46,-6,129,105,-55,173,1696,154,1530,-61,-126,37,24,64,-216,497,238,132,395,71,1845,1656,2871,1480,2392,1020,370,5903,395,3857,105,1369,105,2132,646,151,661,23494,14193,19612,340,1749,3653,200,1724,2571,AML,58
4961,7867,4913,3868,61,33,155,818,33,592,2620,472,2714,40,106,310,223,144,305,457,691,322,1339,94,5104,261,373,38,571,147,378,-33,231,854,27,1026,78,-104,122,205,-15,19415,180,6456,-40,752,4509,38,338,2724,ALL,59
2564,528,1151,704,42,82,412,919,19,137,870,1246,2285,93,-26,471,20,9,329,659,428,279,564,290,1162,880,2122,1568,723,385,3819,3717,374,924,531,1210,82,160,336,183,74,9135,2460,7833,139,1037,10449,448,2496,25625,AML,60
934,754,1012,2007,78,58,422,301,-60,201,2704,446,1842,60,-49,218,-21,-34,114,747,95,97,420,95,1636,1263,3186,3166,1023,489,834,2130,327,5286,-169,2518,97,13968,526,175,5864,13635,123,17887,407,4562,975,210,1705,2297,AML,61
417,1957,720,1524,37,71,384,748,-139,94,1621,1179,1037,-20,16,393,32,113,437,1258,333,335,537,236,2082,1295,7133,1121,1030,1837,428,5249,544,6443,271,4276,-99,322,1605,333,37,14188,24178,28552,653,2641,5314,389,3785,1255,AML,62
537,1152,1453,-140,53,76,462,810,26,74,1427,1046,1716,-19,-130,233,-17,87,121,804,318,418,948,312,1562,1476,5949,2767,2502,2686,867,7924,496,18579,-284,2381,-37,9612,1883,250,2931,18230,19680,21048,359,1350,5178,351,6008,2270,AML,63
3201,227,986,2789,634,119,273,544,21,51,680,718,1661,-16,-140,309,352,113,864,1862,325,680,1458,384,8883,3220,4174,1415,3190,1499,778,2705,450,2483,-775,3334,-127,2667,2204,455,73,24106,3293,6316,1116,4695,6311,528,1819,2914,AML,64
427,456,614,675,6,-25,179,215,-30,198,1478,301,1856,14,-99,-14,-116,-17,-194,304,156,204,598,3,2583,610,2194,1550,2349,716,1343,4667,317,9837,-7,2107,96,7229,560,218,2964,17819,12735,22494,386,1980,5086,230,1717,4561,AML,65
834,836,2284,1162,-26,49,362,1082,34,226,819,1356,1306,-78,17,408,-15,67,-32,571,349,393,467,115,1056,749,543,163,775,460,715,-189,128,4005,-91,1084,332,621,341,65,130,4709,2103,8252,217,343,3340,60,1095,380,AML,66
1358,2474,1438,1918,55,13,140,581,2,200,7408,727,2248,69,31,908,-27,1,400,1254,72,194,407,243,1365,654,2451,38,993,1448,362,149,303,6227,-44,2977,257,5830,247,53,2147,6284,2090,14938,96,2207,4401,-10,1616,513,ALL,67
8402,6203,6609,2553,214,255,1385,1700,164,580,4787,1756,3691,443,439,1235,171,179,974,9158,734,859,559,523,9487,859,1931,1,1049,462,1763,115,171,5342,-293,3496,218,257,74,145,245,12719,163,8556,386,1516,2282,128,1053,575,ALL,68
5032,9155,6622,2698,224,208,1012,808,22,573,5499,2021,1700,258,607,1284,133,91,1392,1465,545,577,1108,146,5149,623,395,34,1496,505,316,16,262,5450,-91,3860,236,151,252,84,68,11796,-166,11688,349,721,2128,57,799,271,ALL,69
2178,1814,2962,1004,0,43,334,490,49,348,1768,524,1229,89,106,853,63,117,58,577,440,218,844,252,3765,360,43,43,682,426,167,-321,230,11194,-51,795,4,236,111,12,154,5736,239,6574,51,736,348,21,210,703,ALL,70
306,1608,1076,1918,24,110,146,149,-1,218,2097,314,822,81,2,1213,170,25,106,557,113,161,800,239,1826,310,509,-2,931,190,183,-28,113,15457,-277,3367,157,2525,130,105,1036,3298,-39,8020,-23,901,1128,3,187,623,ALL,71
1374,2420,3102,1469,142,53,235,583,10,493,5088,833,4559,22,163,586,-21,1,-65,746,78,179,1014,358,2694,665,417,94,1029,406,474,-21,70,5810,-275,2730,-27,257,230,146,125,5341,453,8259,157,1243,1357,-22,435,185,ALL,72
