U22376_cds2_s_at,X59417_at,U05259_rna1_at,M92287_at,X74262_at,L13278_at,M31211_s_at,U09087_s_at,U29175_at,U32944_at,L47738_at,M28170_at,Z15115_at,X52142_at,X15949_at,AF009426_at,S50223_at,M91432_at,X62153_s_at,X63469_at,U20998_at,Z69881_at,J05243_at,L49229_f_at,M31303_rna1_at,M55150_at,U50136_rna1_at,X95735_at,M16038_at,M23197_at,M84526_at,U82759_at,D49950_at,M27891_at,X17042_at,U12471_cds1_at,U46751_at,Y00787_s_at,L08246_at,M80254_at,M62762_at,M81933_at,M96326_rna1_at,M28130_rna1_s_at,M63138_at,M11147_at,M57710_at,M81695_s_at,X85116_rna1_s_at,X04085_rna1_at,cancer,patient
1118,3424,895,2700,1184,31,435,82,822,1002,2893,-39,1920,-114,104,58,346,814,539,151,1602,2015,927,131,3021,1283,1062,307,624,101,-65,118,129,1358,3460,134,1379,5345,2972,109,3072,-11,368,2062,2325,17348,2171,812,169,1395,ALL,2
5467,3821,5314,5403,1051,91,472,218,654,1625,731,363,4261,190,403,38,452,831,680,314,1486,828,425,422,3780,915,942,693,873,288,-367,410,218,-304,392,104,1401,241,740,-111,935,167,882,-2,1132,7070,22,599,199,1655,ALL,4
3469,5216,5354,3440,1370,194,661,186,1011,3502,649,251,3425,361,416,120,476,1423,950,632,2298,1496,529,354,3563,732,928,713,686,395,290,119,110,-86,7972,145,1894,93,2453,139,1665,114,949,138,1269,9017,244,282,334,2000,ALL,5
3936,5528,5146,3978,1339,178,309,144,578,1530,280,280,3810,191,267,16,208,764,509,213,898,473,386,354,3330,853,1066,52,325,84,-366,735,115,-233,403,122,1747,159,961,-77,764,203,826,107,2735,4746,-45,556,378,6133,ALL,7
4745,2073,4048,3293,655,112,263,167,1024,1042,1716,235,6153,179,314,169,310,752,331,227,1586,2067,629,232,4213,1238,1668,-215,244,251,-656,248,32,-247,140,335,1514,455,404,-214,1323,-86,1302,-19,1962,7881,674,1281,571,775,ALL,8
4081,7782,423,7324,3593,198,978,385,1297,2286,2388,24,3303,240,210,43,640,1777,1974,362,2334,4461,2760,568,7230,822,966,-223,273,155,-231,258,9,336,848,131,803,445,783,94,1741,124,1337,104,2900,9431,103,746,-8,633,ALL,9
1658,5204,585,2676,1058,9,752,146,971,934,913,-54,1329,96,97,-18,152,426,664,47,878,1777,1722,19,5052,885,1175,492,144,167,-36,409,54,498,1094,264,1939,522,1288,45,1188,89,82,-35,1855,5092,252,513,176,463,ALL,10
2853,6541,147,6134,953,36,897,89,1913,282,2147,-16,2525,69,27,26,441,472,884,225,2016,2744,1587,7,3352,680,626,-25,34,140,-152,306,38,-376,1343,195,587,1278,733,40,1870,46,737,189,1471,6027,9,461,139,628,ALL,11
551,846,2504,2056,209,-22,334,37,329,277,140,84,1277,-87,-2,-81,90,76,314,43,426,291,169,-27,2290,412,747,408,399,287,41,15,7,107,5252,104,1347,3684,2095,267,1030,44,1296,1855,1763,15280,988,494,530,294,ALL,12
4746,7743,5075,10669,1624,170,668,283,1593,2069,556,87,6216,269,588,123,545,920,1991,495,2151,3578,719,207,4751,548,706,724,281,152,-104,87,103,-97,2408,150,1489,116,1405,70,1482,192,160,3,786,6183,-42,315,182,1220,ALL,13
1534,1756,155,1912,2050,188,265,179,1011,1613,1483,155,3382,159,307,89,570,606,1062,442,2263,1706,859,290,2346,1157,864,360,589,145,-140,188,72,820,2525,135,1784,94,742,136,892,77,838,9,2337,13077,389,1030,452,662,ALL,14
5311,7288,5767,9211,1995,217,898,314,1763,2952,1505,371,5831,499,747,268,571,1417,1030,522,2901,2041,661,513,3347,387,515,938,854,81,-198,99,158,76,2133,128,2286,29,1718,135,1306,96,520,91,2035,8506,-46,333,304,1990,ALL,15
4326,6084,3649,3345,1625,240,666,106,2065,3110,904,360,5617,260,393,171,235,869,675,467,2523,3847,1034,190,3207,707,825,848,289,202,-102,67,28,36,1232,182,944,38,623,18,593,120,478,73,1910,3720,-48,426,540,1143,ALL,16
7155,2455,218,2360,3139,254,374,335,1778,2591,643,-217,3714,214,822,53,352,2031,1731,485,3297,8578,447,214,6633,1822,1837,926,534,286,-158,-226,117,375,1150,227,1888,282,1016,184,2376,98,7,17,4215,12676,-83,588,1263,2474,ALL,17
1178,1273,3339,1316,882,32,516,119,764,820,669,195,1616,-10,515,-5,-65,954,762,472,954,111,252,5,2143,738,883,390,540,141,-76,102,99,22,1232,157,2111,136,1198,10,542,89,-144,41,711,9783,944,666,203,220,ALL,18
3427,6482,2696,2492,1459,200,473,91,1448,1116,1137,285,4692,184,339,86,84,532,800,156,1146,576,1041,45,2291,907,1309,615,44,155,-108,432,101,-180,1519,290,1983,-53,1010,-38,809,82,45,16,1346,4453,343,250,1074,1271,ALL,19
6870,7629,8148,6464,4253,338,1487,268,2191,5908,3810,470,11241,326,748,267,867,3192,1158,629,4700,5796,1717,312,5933,860,817,827,616,180,-58,359,22,205,180,70,2731,119,1969,17,2475,120,-862,242,2273,13988,950,284,1071,4004,ALL,20
9177,5746,2805,524,768,119,688,8,768,1143,1631,514,9114,122,201,206,323,896,1185,256,2914,-11,604,37,2306,92,383,68,447,139,-151,149,48,-124,1912,39,1962,118,1377,34,1514,161,343,184,545,2900,64,137,675,1781,ALL,21
4836,699,5397,3253,176,7,143,30,1323,108,857,95,2572,14,48,-23,241,70,141,104,1000,1628,304,184,2131,686,825,122,239,124,-243,160,74,-102,354,126,1739,206,791,-23,1977,111,678,155,949,6074,88,401,177,350,ALL,22
1872,3878,5070,1689,489,14,481,81,738,1081,223,391,2242,-46,163,-35,301,363,521,162,498,892,295,77,2910,842,1171,700,50,203,-203,267,9,-229,3711,144,1395,9270,635,13,933,113,502,4271,1371,13278,560,439,559,747,ALL,25
3265,3262,8219,5204,716,6,647,109,2143,1480,759,495,3074,105,169,2,101,636,700,348,753,2452,1122,-17,2648,514,805,433,268,128,-53,59,117,66,1750,98,1437,183,827,19,1114,52,29,29,1330,4718,43,416,342,773,ALL,26
794,1203,-2,1283,596,16,300,91,893,384,449,-64,1238,2,64,-44,107,323,832,28,824,172,102,15,2176,1929,1641,2224,679,316,-21,822,297,1073,7858,238,7113,15202,6718,373,2702,313,548,10476,4214,16705,159,1147,2274,3077,AML,28
