U22376_cds2_s_at,X59417_at,U05259_rna1_at,M92287_at,X74262_at,L13278_at,M31211_s_at,U09087_s_at,U29175_at,U32944_at,L47738_at,M28170_at,Z15115_at,X52142_at,X15949_at,AF009426_at,S50223_at,M91432_at,X62153_s_at,X63469_at,U20998_at,Z69881_at,J05243_at,L49229_f_at,M31303_rna1_at,M55150_at,U50136_rna1_at,X95735_at,M16038_at,M23197_at,M84526_at,U82759_at,D49950_at,M27891_at,X17042_at,U12471_cds1_at,U46751_at,Y00787_s_at,L08246_at,M80254_at,M62762_at,M81933_at,M96326_rna1_at,M28130_rna1_s_at,M63138_at,M11147_at,M57710_at,M81695_s_at,X85116_rna1_s_at,X04085_rna1_at,cancer,patient
2037,4646,12968,3633,176,67,475,94,4048,306,837,67,4101,14,171,-24,43,335,335,321,359,2131,786,181,5308,627,1122,178,164,168,-323,67,214,-65,33,-14,687,741,1018,-135,1738,94,627,335,951,6288,-219,393,41,847,ALL,39
1497,2141,1813,522,490,216,251,5,879,759,180,437,2427,81,275,30,373,382,472,225,805,320,994,178,2364,503,1016,105,797,244,-524,68,234,68,1269,411,582,200,128,45,708,27,827,166,1008,3412,282,802,286,784,ALL,40
4240,3686,3627,6400,1258,118,616,114,1147,1657,770,84,4306,331,198,122,167,707,929,184,1797,1477,615,64,2678,181,428,252,491,73,-111,198,-4,-125,1183,154,1111,3,961,31,1188,173,699,150,1208,4639,-45,195,411,2216,ALL,41
2105,3090,4750,5358,678,100,362,135,1140,727,273,-22,2003,-20,113,26,127,553,543,157,745,1681,233,123,2158,1565,64,92,265,154,-124,472,35,250,1045,649,3181,1012,1726,179,2274,371,344,222,1107,10245,4508,772,2682,5517,ALL,42
3821,3619,3115,3598,699,84,329,26,605,1802,439,420,2600,122,233,158,274,562,737,115,1288,557,853,48,2023,1165,646,-52,223,88,-120,242,43,-96,7064,-36,1288,93,612,26,951,355,2235,-28,1502,8790,1841,230,1745,3033,ALL,43
3686,5420,11999,5600,1236,16,710,200,1749,2345,579,180,3423,378,68,173,216,575,898,287,1964,1577,773,69,4112,441,188,-152,252,128,-38,54,97,502,155,183,974,16,554,29,1393,314,330,109,1169,5841,72,128,121,1105,ALL,44
2943,3770,4200,7477,555,86,467,32,795,1407,444,32,2886,218,205,36,236,747,889,228,739,530,382,72,2462,309,470,-61,87,117,-31,46,142,78,1327,278,726,149,3889,-2,1062,445,621,80,1551,9981,54,143,400,1058,ALL,45
2809,3972,3403,6841,384,69,475,77,521,798,570,313,2955,83,49,0,177,392,674,194,431,1103,443,158,1520,385,591,28,173,37,-83,103,80,49,283,160,938,11,1524,66,586,222,173,-60,1750,10026,-67,177,18,804,ALL,46
2805,3198,2559,1338,1903,176,493,100,466,2582,575,2,2893,113,264,44,239,638,853,380,1803,1748,510,109,3042,767,1141,399,313,287,203,176,191,107,2450,75,1443,197,1092,-29,1828,224,851,16,1405,6421,527,163,678,1876,ALL,47
6996,10565,5632,8921,2123,461,951,192,1355,3482,603,275,9908,213,778,154,776,1340,1587,449,2627,3079,598,2,3994,927,769,805,178,222,-140,353,51,-177,1537,194,3187,96,1415,60,1946,143,350,0,1642,10431,185,216,387,1976,ALL,48
2753,5279,9288,4174,424,119,356,213,1816,1146,763,457,4020,297,141,45,-41,799,733,172,670,2427,861,-14,5423,894,1390,-428,390,390,-190,0,128,394,690,86,2098,198,521,-74,417,-81,217,-309,2622,3219,-341,478,450,521,ALL,49
1238,1683,-160,1451,148,38,70,45,802,185,578,110,1456,41,202,26,48,225,212,5,530,219,135,48,1079,1895,2442,5814,2735,928,6595,1375,346,11686,7281,175,6793,13144,2996,440,3427,274,11036,9620,6223,20576,1214,2599,1846,3852,AML,50
376,764,382,583,148,-80,64,50,667,249,446,44,1142,201,-277,4,2,126,108,-2,506,537,48,52,1140,1339,2335,2335,2089,593,9851,677,211,2745,6957,434,7397,20459,3702,826,2120,-30,17279,19878,2815,15497,635,772,1512,5629,AML,51
407,1439,460,1342,401,3,248,-4,-13,882,455,-27,995,19,27,-17,-22,163,232,65,267,541,294,25,775,801,541,2007,1744,1533,7213,218,109,17846,6371,198,2601,593,1066,-30,3266,62,1676,10,13422,23869,9988,1021,1063,1551,AML,52
2585,666,686,1062,162,-21,158,-1,1024,177,118,-52,2027,-70,4,-75,45,135,288,112,599,193,109,39,1320,1534,3568,3870,1522,769,19568,300,106,21404,7056,334,9754,8252,4766,365,3457,206,13774,3628,5946,21043,2280,1212,781,3823,AML,53
2685,1629,155,626,784,76,575,185,640,2110,269,1,1463,430,194,-14,26,413,740,258,1666,1546,352,213,3085,1811,1083,4403,855,629,4366,280,204,10737,7248,238,2380,20,1150,205,2860,216,15196,155,6179,1613,434,696,1834,1016,AML,54
1188,2833,1642,3375,723,-4,439,-12,911,1145,287,184,2219,327,82,14,-42,339,506,269,444,426,421,54,2374,781,861,878,217,159,-77,-29,74,359,2057,107,1130,32,319,32,1170,224,1767,-69,768,6448,82,446,359,651,ALL,55
2075,648,4941,2417,834,33,190,131,1521,1148,1009,620,2603,203,206,-46,56,496,746,221,862,5054,1359,33,3038,669,973,162,185,252,-2,-74,2,553,1102,239,927,25,167,43,1246,296,839,74,1815,5598,270,314,401,672,ALL,56
2295,469,174,851,330,-29,21,19,534,807,21,-100,1582,-66,184,15,-21,196,654,64,648,1271,21,-37,1428,1147,721,2287,444,827,10120,110,96,3168,8964,192,1987,127,455,39,1662,-121,28647,-58,5971,14092,76,623,442,7671,AML,57
562,420,698,751,105,64,173,-6,534,534,37,-95,1072,-58,182,-55,-126,129,327,86,154,250,151,-61,1530,1656,2392,2871,1020,646,5903,340,151,14193,3653,71,1369,2132,1533,105,1489,-95,2571,661,3913,19612,618,995,370,615,AML,58
4961,4913,2282,7867,818,144,592,33,950,734,310,231,3739,55,216,33,106,155,963,30,472,3868,739,40,2714,261,571,373,147,122,-33,-40,205,180,4509,66,1026,-104,424,78,1769,195,2724,-15,2577,6456,195,325,378,1049,ALL,59
2564,1151,314,528,919,9,137,82,371,1235,471,3,1417,109,228,19,-26,412,325,104,1246,704,336,93,2285,880,723,2122,385,336,3717,139,183,2460,10449,176,1210,160,494,82,1933,275,25625,74,2442,7833,187,444,3819,4558,AML,60
934,1012,325,754,301,-34,201,58,1092,773,218,-175,1153,101,112,-60,-49,422,225,58,446,2007,288,60,1842,1263,1023,3186,489,526,2130,407,175,123,975,132,2518,13968,5487,97,2600,71,2297,5864,2776,17887,-91,509,834,489,AML,61
417,720,1742,1957,748,113,94,71,349,919,393,132,1554,4,298,-139,16,384,379,217,1179,1524,282,-20,1037,1295,1030,7133,1837,1605,5249,653,333,24178,5314,155,4276,322,2787,-99,4346,2,1255,37,7323,28552,6415,1962,428,3570,AML,62
537,1453,351,1152,810,87,74,76,832,1425,233,-39,1598,20,313,26,-130,462,646,544,1046,-140,5,-19,1716,1476,2502,5949,2686,1883,7924,359,250,19680,5178,256,2381,9612,3392,-37,4514,-97,2270,2931,6215,21048,5097,2063,867,1251,AML,63
3201,986,1070,227,544,113,51,119,818,393,309,113,3494,-27,260,21,-140,273,609,130,718,2789,195,-16,1661,3220,3190,4174,1499,2204,2705,1116,455,3293,6311,143,3334,2667,3074,-127,2803,-32,2914,73,11451,6316,243,1580,778,8970,AML,64
427,614,301,456,215,-17,198,-25,440,501,-14,-97,1084,26,152,-30,-99,179,423,105,301,675,220,14,1856,610,2349,2194,716,560,4667,386,218,12735,5086,280,2107,7229,7003,96,2631,11,4561,2964,2172,22494,405,345,1343,339,AML,65
834,2284,623,836,1082,67,226,49,625,993,408,-119,2175,-4,67,34,17,362,825,217,1356,1162,230,-78,1306,749,775,543,460,341,-189,217,65,2103,3340,163,1084,621,1141,332,960,165,380,130,1775,8252,534,226,715,2016,AML,66
1358,1438,707,2474,581,1,200,13,1295,59,908,-91,1799,-122,58,2,31,140,156,208,727,1918,519,69,2248,654,993,2451,1448,247,149,96,53,2090,4401,134,2977,5830,3570,257,2601,70,513,2147,2718,14938,2283,778,362,2504,ALL,67
8402,6609,6101,6203,1700,179,580,255,1131,3869,1235,67,5549,352,469,164,439,1385,688,400,1756,2553,1226,443,3691,859,1049,1931,462,74,115,386,145,163,2282,216,3496,257,4178,218,1618,8,575,245,1576,8556,167,239,1763,5407,ALL,68
5032,6622,4634,9155,808,91,573,208,1187,1569,1284,155,5098,161,379,22,607,1012,706,599,2021,2698,765,258,1700,623,1496,395,505,252,16,349,84,-166,2128,120,3860,151,2570,236,1760,182,271,68,2065,11688,118,518,316,2228,ALL,69
2178,2962,4896,1814,490,117,348,43,693,1072,853,266,2490,86,75,49,106,334,519,213,524,1004,344,89,1229,360,682,43,426,111,-321,51,12,239,348,185,795,236,2111,4,1025,301,703,154,1243,6574,81,334,167,812,ALL,70
306,1076,4317,1608,149,25,218,110,1313,227,1213,142,1427,31,75,-1,2,146,144,232,314,1918,1164,81,822,310,931,509,190,130,-28,-23,105,-39,1128,134,3367,2525,3808,157,1494,170,623,1036,1297,8020,-20,416,183,318,ALL,71
