U22376_cds2_s_at,M92287_at,X59417_at,M55150_at,X95735_at,U46499_at,U50136_rna1_at,Z69881_at,M77142_at,U09087_s_at,M91432_at,X74262_at,AF009426_at,M31211_s_at,HG1612-HT1612_at,U20998_at,M16038_at,M31303_rna1_at,X85116_rna1_s_at,L49229_f_at,M84526_at,U57094_at,S50223_at,M69043_at,L47738_at,U90546_r_at,L13278_at,D87078_at,U59877_s_at,U49395_at,D63880_at,U46751_at,L42572_at,U83115_at,M80254_at,U35451_at,Y00787_s_at,M13792_at,M14483_rna1_s_at,M11722_at,M23197_at,U72342_at,J05243_at,U25435_at,D49950_at,AF012024_s_at,M28130_rna1_s_at,L25931_s_at,Y00433_at,M27891_at,cancer,patient
3105,4778,3016,654,298,44,1124,1766,296,358,767,1372,36,601,3767,1753,365,3828,162,337,-283,180,268,1489,571,327,193,619,-958,752,556,1298,472,1381,-88,408,333,3221,18443,3282,261,978,610,509,75,257,292,1005,7546,303,ALL,1
1118,2700,3424,1283,307,146,1062,2015,164,82,814,1184,58,435,2890,1602,624,3021,169,131,-65,206,346,6084,2893,58,31,242,-429,1456,476,1379,388,1567,109,633,5345,10954,21084,1627,101,324,927,624,129,46,2062,535,9601,1358,ALL,2
4543,4926,7724,1286,309,110,1398,3556,317,263,1547,2221,63,547,5996,2761,108,7247,-18,529,-395,106,804,2281,2723,301,198,760,-645,2239,498,1496,451,1421,-53,912,301,16529,22167,2783,309,855,1697,677,44,139,-25,881,2918,254,ALL,3
5467,5403,3821,915,693,86,942,828,225,218,831,1051,38,472,2810,1486,873,3780,199,422,-367,165,452,2178,731,170,91,865,-795,2794,1211,1401,406,2426,-111,304,241,5364,21771,1544,288,369,425,404,218,168,-2,822,9491,-304,ALL,4
3469,3440,5216,732,713,104,928,1496,243,186,1423,1370,120,661,2206,2298,686,3563,334,354,290,295,476,1094,649,279,194,787,-237,1542,820,1894,752,956,139,398,93,2837,19363,1896,395,653,529,430,110,94,138,581,10367,-86,ALL,5
3309,3179,4194,691,247,10,842,2606,40,209,430,1306,92,337,3881,1013,302,4890,117,327,-40,145,256,1513,1858,254,96,231,-663,1474,485,528,359,746,46,506,215,16135,26169,2372,58,449,1682,474,33,197,23,449,2263,1168,ALL,6
3936,3978,5528,853,52,105,1066,473,137,144,764,1339,16,309,3723,898,325,3330,378,354,-366,21,208,2866,280,38,178,772,-623,2362,734,1747,578,1347,-77,357,159,6067,15327,613,84,638,386,425,115,188,107,699,9863,-233,ALL,7
4081,7324,7782,822,-223,103,966,4461,152,385,1777,3593,43,978,7439,2334,273,7230,-8,568,-231,195,640,3862,2388,73,198,773,-663,2336,686,803,675,1852,94,982,445,15235,20388,1391,155,576,2760,774,9,269,104,1563,5919,336,ALL,9
2853,6134,6541,680,-25,93,626,2744,102,89,472,953,26,897,4406,2016,34,3352,139,7,-152,274,441,2561,2147,4,36,336,-523,1466,551,587,358,1031,40,745,1278,8630,13372,780,140,686,1587,823,38,132,189,1040,2128,-376,ALL,11
794,1283,1203,1929,2224,208,1641,172,80,91,323,596,-44,300,2194,824,679,2176,2274,15,-21,271,107,13895,449,15,16,231,-447,813,279,7113,199,536,373,209,15202,2493,16503,-252,316,32,102,243,297,43,10476,421,11793,1073,AML,28
1312,1525,1561,1647,3348,1049,2545,371,21,58,125,309,-21,237,460,1174,1305,1486,2195,17,6569,362,150,1908,65,-7,-17,359,-119,338,277,3717,70,323,550,29,3104,487,8957,297,555,173,237,130,190,50,1653,427,12352,6962,AML,29
485,811,1628,2112,6218,1304,3818,292,44,15,158,313,-33,100,1874,440,2694,730,478,60,7372,480,-1,11990,172,-34,-16,-53,183,807,136,11618,264,526,425,160,6506,769,13303,412,1130,118,238,191,326,12,2971,202,15961,14555,AML,30
408,1032,1784,1555,1548,2087,2943,248,47,61,295,275,-41,192,767,651,1028,3719,983,56,4833,289,31,9866,239,-71,60,-176,193,634,321,1262,294,778,82,223,2096,1614,12122,385,1338,-54,57,96,197,45,688,116,17124,7238,AML,31
1047,1024,1214,1514,3297,167,2535,618,63,50,368,311,9,339,2856,660,2680,1985,1017,88,141,219,210,10899,683,7,34,48,-31,971,283,3088,264,850,619,293,12715,4148,14207,1284,774,249,628,298,259,68,7108,228,13059,12339,AML,32
335,1827,1583,2693,3482,1689,1373,-203,63,0,110,19,-107,59,2205,580,3223,1528,1999,-48,2000,492,-94,14090,153,-104,-44,120,-323,902,151,5749,169,778,864,73,21147,1446,11468,58,443,380,-44,258,100,4,13176,544,9895,3654,AML,33
880,165,490,1406,1050,1185,2137,406,28,48,226,336,-67,19,680,529,735,2195,1639,38,-312,281,168,2306,218,-14,-7,60,-72,990,-4,1106,175,507,72,57,216,2551,7860,2,781,117,-16,113,295,50,-45,194,7848,1481,AML,35
680,1484,99,1753,1671,577,2286,214,68,33,111,51,-42,75,1367,845,784,1291,4465,-37,1569,369,62,5902,201,-83,-16,-89,-365,813,118,7061,158,669,307,195,10043,2708,13107,166,275,-1,71,414,70,41,5072,561,12468,1661,AML,38
