U22376_cds2_s_at,M92287_at,X59417_at,M55150_at,X95735_at,U46499_at,U50136_rna1_at,Z69881_at,M77142_at,U09087_s_at,M91432_at,X74262_at,AF009426_at,M31211_s_at,HG1612-HT1612_at,U20998_at,M16038_at,M31303_rna1_at,X85116_rna1_s_at,L49229_f_at,M84526_at,U57094_at,S50223_at,M69043_at,L47738_at,U90546_r_at,L13278_at,D87078_at,U59877_s_at,U49395_at,D63880_at,U46751_at,L42572_at,U83115_at,M80254_at,U35451_at,Y00787_s_at,M13792_at,M14483_rna1_s_at,M11722_at,M23197_at,U72342_at,J05243_at,U25435_at,D49950_at,AF012024_s_at,M28130_rna1_s_at,L25931_s_at,Y00433_at,M27891_at,cancer,patient
3105,4778,3016,654,298,44,1124,1766,296,358,767,1372,36,601,3767,1753,365,3828,162,337,-283,180,268,1489,571,327,193,619,-958,752,556,1298,472,1381,-88,408,333,3221,18443,3282,261,978,610,509,75,257,292,1005,7546,303,ALL,1
1118,2700,3424,1283,307,146,1062,2015,164,82,814,1184,58,435,2890,1602,624,3021,169,131,-65,206,346,6084,2893,58,31,242,-429,1456,476,1379,388,1567,109,633,5345,10954,21084,1627,101,324,927,624,129,46,2062,535,9601,1358,ALL,2
4543,4926,7724,1286,309,110,1398,3556,317,263,1547,2221,63,547,5996,2761,108,7247,-18,529,-395,106,804,2281,2723,301,198,760,-645,2239,498,1496,451,1421,-53,912,301,16529,22167,2783,309,855,1697,677,44,139,-25,881,2918,254,ALL,3
5467,5403,3821,915,693,86,942,828,225,218,831,1051,38,472,2810,1486,873,3780,199,422,-367,165,452,2178,731,170,91,865,-795,2794,1211,1401,406,2426,-111,304,241,5364,21771,1544,288,369,425,404,218,168,-2,822,9491,-304,ALL,4
3469,3440,5216,732,713,104,928,1496,243,186,1423,1370,120,661,2206,2298,686,3563,334,354,290,295,476,1094,649,279,194,787,-237,1542,820,1894,752,956,139,398,93,2837,19363,1896,395,653,529,430,110,94,138,581,10367,-86,ALL,5
3309,3179,4194,691,247,10,842,2606,40,209,430,1306,92,337,3881,1013,302,4890,117,327,-40,145,256,1513,1858,254,96,231,-663,1474,485,528,359,746,46,506,215,16135,26169,2372,58,449,1682,474,33,197,23,449,2263,1168,ALL,6
3936,3978,5528,853,52,105,1066,473,137,144,764,1339,16,309,3723,898,325,3330,378,354,-366,21,208,2866,280,38,178,772,-623,2362,734,1747,578,1347,-77,357,159,6067,15327,613,84,638,386,425,115,188,107,699,9863,-233,ALL,7
4081,7324,7782,822,-223,103,966,4461,152,385,1777,3593,43,978,7439,2334,273,7230,-8,568,-231,195,640,3862,2388,73,198,773,-663,2336,686,803,675,1852,94,982,445,15235,20388,1391,155,576,2760,774,9,269,104,1563,5919,336,ALL,9
1658,2676,5204,885,492,64,1175,1777,115,146,426,1058,-18,752,4791,878,144,5052,176,19,-36,86,152,1974,913,14,9,142,-367,818,721,1939,294,951,45,613,522,8982,17569,972,167,99,1722,327,54,99,-35,549,3387,498,ALL,10
2853,6134,6541,680,-25,93,626,2744,102,89,472,953,26,897,4406,2016,34,3352,139,7,-152,274,441,2561,2147,4,36,336,-523,1466,551,587,358,1031,40,745,1278,8630,13372,780,140,686,1587,823,38,132,189,1040,2128,-376,ALL,11
