M55150_at,M92287_at,U22376_cds2_s_at,X59417_at,X95735_at,U50136_rna1_at,AF009426_at,U57094_at,cancer,patient
627,3633,2037,4646,178,1122,-24,313,ALL,39
503,522,1497,2141,105,1016,30,185,ALL,40
1565,5358,2105,3090,92,64,26,33,ALL,42
767,1338,2805,3198,399,1141,44,229,ALL,47
927,8921,6996,10565,805,769,154,412,ALL,48
894,4174,2753,5279,-428,1390,45,309,ALL,49
181,6400,4240,3686,252,428,122,144,ALL,41
1165,3598,3821,3619,-52,646,158,377,ALL,43
441,5600,3686,5420,-152,188,173,219,ALL,44
309,7477,2943,3770,-61,470,36,256,ALL,45
385,6841,2809,3972,28,591,0,171,ALL,46
360,1814,2178,2962,43,682,49,230,ALL,70
310,1608,306,1076,509,931,-1,113,ALL,71
665,2420,1374,3102,417,1029,10,70,ALL,72
859,6203,8402,6609,1931,1049,164,171,ALL,68
623,9155,5032,6622,395,1496,22,262,ALL,69
654,2474,1358,1438,2451,993,2,303,ALL,67
781,3375,1188,2833,878,861,14,174,ALL,55
669,2417,2075,648,162,973,-46,164,ALL,56
261,7867,4961,4913,373,571,33,231,ALL,59
801,1342,407,1439,2007,541,-17,312,AML,52
1534,1062,2585,666,3870,3568,-75,446,AML,53
1339,583,376,764,2335,2335,4,263,AML,51
1895,1451,1238,1683,5814,2442,26,454,AML,50
1811,626,2685,1629,4403,1083,-14,932,AML,54
1147,851,2295,469,2287,721,15,369,AML,57
1656,751,562,420,2871,2392,-55,395,AML,58
880,528,2564,1151,2122,723,19,374,AML,60
1263,754,934,1012,3186,1023,-60,327,AML,61
610,456,427,614,2194,2349,-30,317,AML,65
749,836,834,2284,543,775,34,128,AML,66
1476,1152,537,1453,5949,2502,26,496,AML,63
3220,227,3201,986,4174,3190,21,450,AML,64
1295,1957,417,720,7133,1030,-139,544,AML,62
