k,feature_selection,patient_balance,gene_balance,angle_encoding,angle_reps,n_qubits,circuit_depth,test_acc,test_auroc,test_f1,ind_acc,ind_auroc,ind_f1
4,anova,balanced,balanced,simple_ry,1,4,1,0.5714285714285714,1.0,0.6666666666666666,0.4117647058823529,0.6714285714285715,0.5
4,anova,balanced,balanced,zz_feature_map,2,4,22,0.0,0.0,0.0,0.5588235294117647,0.6142857142857143,0.5714285714285714
4,anova,balanced,balanced,bps_circuit,1,4,6,0.5714285714285714,1.0,0.6666666666666666,0.4411764705882353,0.767857142857143,0.5777777777777777
4,anova,balanced,topk,simple_ry,1,4,1,1.0,1.0,1.0,0.8529411764705882,0.9964285714285714,0.782608695652174
4,anova,balanced,topk,zz_feature_map,2,4,22,0.42857142857142855,1.0,0.6,0.5,0.7178571428571429,0.6222222222222222
4,anova,balanced,topk,bps_circuit,1,4,6,1.0,1.0,1.0,0.8235294117647058,0.9642857142857144,0.75
4,anova,all,balanced,simple_ry,1,4,1,0.8333333333333334,1.0,0.5,0.7647058823529411,0.8928571428571429,0.6
4,anova,all,balanced,zz_feature_map,2,4,22,0.75,0.4444444444444444,0.0,0.6176470588235294,0.7285714285714285,0.13333333333333333
4,anova,all,balanced,bps_circuit,1,4,6,0.8333333333333334,1.0,0.5,0.7647058823529411,0.8607142857142858,0.6
4,anova,all,topk,simple_ry,1,4,1,1.0,1.0,1.0,0.8823529411764706,0.9178571428571428,0.8333333333333334
4,anova,all,topk,zz_feature_map,2,4,22,0.8333333333333334,0.888888888888889,0.5,0.5588235294117647,0.4928571428571429,0.11764705882352941
4,anova,all,topk,bps_circuit,1,4,6,1.0,1.0,1.0,0.9117647058823529,0.9249999999999999,0.88
4,snr,balanced,balanced,simple_ry,1,4,1,1.0,1.0,1.0,0.9117647058823529,0.9892857142857143,0.88
4,snr,balanced,balanced,zz_feature_map,2,4,22,0.42857142857142855,0.5833333333333333,0.6,0.47058823529411764,0.5285714285714286,0.5263157894736842
4,snr,balanced,balanced,bps_circuit,1,4,6,1.0,1.0,1.0,0.8823529411764706,0.967857142857143,0.8461538461538461
4,snr,balanced,topk,simple_ry,1,4,1,1.0,1.0,1.0,0.9705882352941176,1.0,0.9629629629629629
4,snr,balanced,topk,zz_feature_map,2,4,22,0.7142857142857143,0.75,0.6666666666666666,0.6176470588235294,0.5678571428571428,0.5806451612903226
4,snr,balanced,topk,bps_circuit,1,4,6,1.0,1.0,1.0,0.8529411764705882,0.967857142857143,0.8387096774193549
4,snr,all,balanced,simple_ry,1,4,1,0.9166666666666666,1.0,0.8,0.7647058823529411,0.8642857142857143,0.6
4,snr,all,balanced,zz_feature_map,2,4,22,0.75,0.5555555555555556,0.0,0.6176470588235294,0.6678571428571428,0.13333333333333333
4,snr,all,balanced,bps_circuit,1,4,6,1.0,1.0,1.0,0.7941176470588235,0.8535714285714285,0.6666666666666666
4,snr,all,topk,simple_ry,1,4,1,0.9166666666666666,1.0,0.8,0.8529411764705882,0.8857142857142858,0.782608695652174
4,snr,all,topk,zz_feature_map,2,4,22,0.75,0.6666666666666667,0.0,0.5882352941176471,0.5249999999999999,0.0
4,snr,all,topk,bps_circuit,1,4,6,1.0,1.0,1.0,0.8529411764705882,0.9321428571428572,0.782608695652174
8,anova,balanced,balanced,simple_ry,1,8,1,1.0,1.0,1.0,0.5,0.5928571428571429,0.6046511627906976
8,anova,balanced,balanced,zz_feature_map,2,8,46,0.42857142857142855,0.5833333333333334,0.6,0.4117647058823529,0.4714285714285714,0.5833333333333334
8,anova,balanced,balanced,bps_circuit,1,8,10,1.0,1.0,1.0,0.5,0.6071428571428572,0.6222222222222222
8,anova,balanced,topk,simple_ry,1,8,1,0.7142857142857143,1.0,0.5,0.7647058823529411,0.9357142857142857,0.6
8,anova,balanced,topk,zz_feature_map,2,8,46,0.42857142857142855,0.8333333333333333,0.6,0.4117647058823529,0.4714285714285714,0.5833333333333334
8,anova,balanced,topk,bps_circuit,1,8,10,0.8571428571428571,1.0,0.8,0.8529411764705882,0.9642857142857143,0.782608695652174
8,anova,all,balanced,simple_ry,1,8,1,0.8333333333333334,1.0,0.5,0.7941176470588235,0.9571428571428572,0.6666666666666666
8,anova,all,balanced,zz_feature_map,2,8,46,0.75,1.0,0.0,0.5882352941176471,0.7321428571428572,0.0
8,anova,all,balanced,bps_circuit,1,8,10,0.75,1.0,0.0,0.7352941176470589,0.8964285714285715,0.5263157894736842
8,anova,all,topk,simple_ry,1,8,1,1.0,1.0,1.0,0.8823529411764706,0.9285714285714286,0.8333333333333334
8,anova,all,topk,zz_feature_map,2,8,46,0.75,0.7777777777777777,0.0,0.5882352941176471,0.5464285714285715,0.0
8,anova,all,topk,bps_circuit,1,8,10,1.0,1.0,1.0,0.9117647058823529,0.9285714285714286,0.88
8,snr,balanced,balanced,simple_ry,1,8,1,1.0,1.0,1.0,0.9411764705882353,0.9714285714285714,0.9285714285714286
8,snr,balanced,balanced,zz_feature_map,2,8,46,0.42857142857142855,0.25,0.6,0.4117647058823529,0.4035714285714286,0.5833333333333334
8,snr,balanced,balanced,bps_circuit,1,8,10,1.0,1.0,1.0,0.8235294117647058,0.9785714285714285,0.8125
8,snr,balanced,topk,simple_ry,1,8,1,1.0,1.0,1.0,0.9411764705882353,0.9714285714285714,0.9285714285714286
8,snr,balanced,topk,zz_feature_map,2,8,46,0.42857142857142855,0.75,0.6,0.4117647058823529,0.5821428571428571,0.5833333333333334
