selection,optimizer,count_split,layer,qubit,epochs,accuracy,AUROC,F-score,recall,encoding,k_features
ANOVA,statevector,70/30,1,4,N/A,0.7941176470588235,0.6984126984126983,0.5882352941176471,0.7142857142857143,angle,4
ANOVA,statevector,70/30,1,8,N/A,0.7352941176470589,0.7037037037037037,0.47058823529411764,0.5714285714285714,angle,8
ANOVA,statevector,70/30,1,16,N/A,0.7647058823529411,0.6931216931216931,0.6,0.8571428571428571,angle,16
SNR,statevector,70/30,1,4,N/A,0.8529411764705882,0.9428571428571428,0.782608695652174,0.6428571428571429,angle,4
SNR,statevector,70/30,1,8,N/A,0.9411764705882353,0.9750000000000001,0.9230769230769231,0.8571428571428571,angle,8
SNR,statevector,70/30,1,16,N/A,0.9411764705882353,0.9214285714285715,0.9285714285714286,0.9285714285714286,angle,16
ANOVA,statevector,70/30,1,2,N/A,0.7941176470588235,0.5132275132275133,0.0,0.0,amplitude,4
ANOVA,statevector,70/30,1,3,N/A,0.7941176470588235,0.5767195767195767,0.0,0.0,amplitude,8
ANOVA,statevector,70/30,1,4,N/A,0.7058823529411765,0.7142857142857142,0.2857142857142857,0.2857142857142857,amplitude,16
ANOVA,statevector,70/30,1,5,N/A,0.7058823529411765,0.7248677248677249,0.0,0.0,amplitude,32
ANOVA,statevector,70/30,1,6,N/A,0.6470588235294118,0.746031746031746,0.25,0.2857142857142857,amplitude,50
SNR,statevector,70/30,1,2,N/A,0.8529411764705882,0.9107142857142857,0.8148148148148148,0.7857142857142857,amplitude,4
SNR,statevector,70/30,1,3,N/A,0.9117647058823529,0.9714285714285714,0.896551724137931,0.9285714285714286,amplitude,8
SNR,statevector,70/30,1,4,N/A,0.9705882352941176,0.9964285714285714,0.9629629629629629,0.9285714285714286,amplitude,16
SNR,statevector,70/30,1,5,N/A,0.9705882352941176,0.9928571428571429,0.9629629629629629,0.9285714285714286,amplitude,32
SNR,statevector,70/30,1,6,N/A,0.9705882352941176,0.9928571428571429,0.9629629629629629,0.9285714285714286,amplitude,50
ANOVA,tensor_network,70/30,1,32,N/A,0.6764705882352942,0.7063492063492064,0.5217391304347826,0.8571428571428571,angle,32
ANOVA,tensor_network,70/30,1,50,N/A,0.7941176470588235,0.7380952380952381,0.0,0.0,angle,50
SNR,tensor_network,70/30,1,32,N/A,0.5882352941176471,0.925,0.0,0.0,angle,32
SNR,tensor_network,70/30,1,50,N/A,0.5882352941176471,0.9321428571428572,0.0,0.0,angle,50
