gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,label
627,1122,178,2037,164,168,-323,67,214,4646,-65,33,12968,-14,687,3633,741,1018,176,-135,67,1738,475,94,94,627,335,4048,951,6288,-219,306,393,837,67,41,4101,14,171,847,-24,2,7285,43,803,335,135,311,335,321,0
503,1016,105,1497,797,244,-524,68,234,2141,68,1269,1813,411,582,522,200,128,490,45,216,708,251,5,27,827,166,879,1008,3412,282,759,802,180,437,286,2427,81,275,784,30,363,2210,373,480,382,1030,294,472,225,0
181,428,252,4240,491,73,-111,198,-4,3686,-125,1183,3627,154,1111,6400,3,961,1258,31,118,1188,616,114,173,699,150,1147,1208,4639,-45,1657,195,770,84,411,4306,331,198,2216,122,9,2842,167,1167,707,-239,145,929,184,0
1565,64,92,2105,265,154,-124,472,35,3090,250,1045,4750,649,3181,5358,1012,1726,678,179,100,2274,362,135,371,344,222,1140,1107,10245,4508,727,772,273,-22,2682,2003,-20,113,5517,26,199,9757,127,2635,553,6,239,543,157,0
1165,646,-52,3821,223,88,-120,242,43,3619,-96,7064,3115,-36,1288,3598,93,612,699,26,84,951,329,26,355,2235,-28,605,1502,8790,1841,1802,230,439,420,1745,2600,122,233,3033,158,69,1062,274,4451,562,-31,492,737,115,0
441,188,-152,3686,252,128,-38,54,97,5420,502,155,11999,183,974,5600,16,554,1236,29,16,1393,710,200,314,330,109,1749,1169,5841,72,2345,128,579,180,121,3423,378,68,1105,173,38,2208,216,1529,575,-177,232,898,287,0
309,470,-61,2943,87,117,-31,46,142,3770,78,1327,4200,278,726,7477,149,3889,555,-2,86,1062,467,32,445,621,80,795,1551,9981,54,1407,143,444,32,400,2886,218,205,1058,36,165,4443,236,310,747,48,185,889,228,0
385,591,28,2809,173,37,-83,103,80,3972,49,283,3403,160,938,6841,11,1524,384,66,69,586,475,77,222,173,-60,521,1750,10026,-67,798,177,570,313,18,2955,83,49,804,0,-8,4024,177,701,392,106,209,674,194,0
767,1141,399,2805,313,287,203,176,191,3198,107,2450,2559,75,1443,1338,197,1092,1903,-29,176,1828,493,100,224,851,16,466,1405,6421,527,2582,163,575,2,678,2893,113,264,1876,44,235,1128,239,983,638,252,388,853,380,0
927,769,805,6996,178,222,-140,353,51,10565,-177,1537,5632,194,3187,8921,96,1415,2123,60,461,1946,951,192,143,350,0,1355,1642,10431,185,3482,216,603,275,387,9908,213,778,1976,154,302,4069,776,298,1340,170,275,1587,449,0
894,1390,-428,2753,390,390,-190,0,128,5279,394,690,9288,86,2098,4174,198,521,424,-74,119,417,356,213,-81,217,-309,1816,2622,3219,-341,1146,478,763,457,450,4020,297,141,521,45,404,5845,-41,2081,799,-400,732,733,172,0
1895,2442,5814,1238,2735,928,6595,1375,346,1683,11686,7281,-160,175,6793,1451,13144,2996,148,440,38,3427,70,45,274,11036,9620,802,6223,20576,1214,185,2599,578,110,1846,1456,41,202,3852,26,342,15105,48,6808,225,633,1009,212,5,1
1339,2335,2335,376,2089,593,9851,677,211,764,2745,6957,382,434,7397,583,20459,3702,148,826,-80,2120,64,50,-30,17279,19878,667,2815,15497,635,249,772,446,44,1512,1142,201,-277,5629,4,339,11291,2,4980,126,852,872,108,-2,1
801,541,2007,407,1744,1533,7213,218,109,1439,17846,6371,460,198,2601,1342,593,1066,401,-30,3,3266,248,-4,62,1676,10,-13,13422,23869,9988,882,1021,455,-27,1063,995,19,27,1551,-17,354,3861,-22,15202,163,3599,589,232,65,1
1534,3568,3870,2585,1522,769,19568,300,106,666,21404,7056,686,334,9754,1062,8252,4766,162,365,-21,3457,158,-1,206,13774,3628,1024,5946,21043,2280,177,1212,118,-52,781,2027,-70,4,3823,-75,308,4705,45,7982,135,1465,1112,288,112,1
1811,1083,4403,2685,855,629,4366,280,204,1629,10737,7248,155,238,2380,626,20,1150,784,205,76,2860,575,185,216,15196,155,640,6179,1613,434,2110,696,269,1,1834,1463,430,194,1016,-14,319,968,26,1867,413,1392,356,740,258,1
781,861,878,1188,217,159,-77,-29,74,2833,359,2057,1642,107,1130,3375,32,319,723,32,-4,1170,439,-12,224,1767,-69,911,768,6448,82,1145,446,287,184,359,2219,327,82,651,14,194,1105,-42,3360,339,142,352,506,269,0
669,973,162,2075,185,252,-2,-74,2,648,553,1102,4941,239,927,2417,25,167,834,43,33,1246,190,131,296,839,74,1521,1815,5598,270,1148,314,1009,620,401,2603,203,206,672,-46,46,1624,56,1977,496,-226,558,746,221,0
1147,721,2287,2295,444,827,10120,110,96,469,3168,8964,174,192,1987,851,127,455,330,39,-29,1662,21,19,-121,28647,-58,534,5971,14092,76,807,623,21,-100,442,1582,-66,184,7671,15,253,518,-21,2114,196,37,860,654,64,1
1656,2392,2871,562,1020,646,5903,340,151,420,14193,3653,698,71,1369,751,2132,1533,105,105,64,1489,173,-6,-95,2571,661,534,3913,19612,618,534,995,37,-95,370,1072,-58,182,615,-55,646,3857,-126,11007,129,1987,574,327,86,1
261,571,373,4961,147,122,-33,-40,205,4913,180,4509,2282,66,1026,7867,-104,424,818,78,144,1769,592,33,195,2724,-15,950,2577,6456,195,734,325,310,231,378,3739,55,216,1049,33,-195,854,106,3764,155,147,485,963,30,0
880,723,2122,2564,385,336,3717,139,183,1151,2460,10449,314,176,1210,528,160,494,919,82,9,1933,137,82,275,25625,74,371,2442,7833,187,1235,444,471,3,3819,1417,109,228,4558,19,14,924,-26,4193,412,207,249,325,104,1
1263,1023,3186,934,489,526,2130,407,175,1012,123,975,325,132,2518,754,13968,5487,301,97,-34,2600,201,58,71,2297,5864,1092,2776,17887,-91,773,509,218,-175,834,1153,101,112,489,-60,361,5286,-49,3017,422,537,446,225,58,1
1295,1030,7133,417,1837,1605,5249,653,333,720,24178,5314,1742,155,4276,1957,322,2787,748,-99,113,4346,94,71,2,1255,37,349,7323,28552,6415,919,1962,393,132,428,1554,4,298,3570,-139,345,6443,16,14347,384,3308,-423,379,217,1
1476,2502,5949,537,2686,1883,7924,359,250,1453,19680,5178,351,256,2381,1152,9612,3392,810,-37,87,4514,74,76,-97,2270,2931,832,6215,21048,5097,1425,2063,233,-39,867,1598,20,313,1251,26,93,18579,-130,7392,462,6155,617,646,544,1
3220,3190,4174,3201,1499,2204,2705,1116,455,986,3293,6311,1070,143,3334,227,2667,3074,544,-127,113,2803,51,119,-32,2914,73,818,11451,6316,243,393,1580,309,113,778,3494,-27,260,8970,21,534,2483,-140,891,273,1089,1003,609,130,1
610,2349,2194,427,716,560,4667,386,218,614,12735,5086,301,280,2107,456,7229,7003,215,96,-17,2631,198,-25,11,4561,2964,440,2172,22494,405,501,345,-14,-97,1343,1084,26,152,339,-30,308,9837,-99,2906,179,1336,460,423,105,1
749,775,543,834,460,341,-189,217,65,2284,2103,3340,623,163,1084,836,621,1141,1082,332,67,960,226,49,165,380,130,625,1775,8252,534,993,226,408,-119,715,2175,-4,67,2016,34,254,4005,17,945,362,562,197,825,217,1
654,993,2451,1358,1448,247,149,96,53,1438,2090,4401,707,134,2977,2474,5830,3570,581,257,1,2601,200,13,70,513,2147,1295,2718,14938,2283,59,778,908,-91,362,1799,-122,58,2504,2,222,6227,31,3050,140,403,320,156,208,0
859,1049,1931,8402,462,74,115,386,145,6609,163,2282,6101,216,3496,6203,257,4178,1700,218,179,1618,580,255,8,575,245,1131,1576,8556,167,3869,239,1235,67,1763,5549,352,469,5407,164,140,5342,439,2068,1385,338,152,688,400,0
623,1496,395,5032,505,252,16,349,84,6622,-166,2128,4634,120,3860,9155,151,2570,808,236,91,1760,573,208,182,271,68,1187,2065,11688,118,1569,518,1284,155,316,5098,161,379,2228,22,351,5450,607,969,1012,358,264,706,599,0
360,682,43,2178,426,111,-321,51,12,2962,239,348,4896,185,795,1814,236,2111,490,4,117,1025,348,43,301,703,154,693,1243,6574,81,1072,334,853,266,167,2490,86,75,812,49,30,11194,106,2052,334,142,119,519,213,0
310,931,509,306,190,130,-28,-23,105,1076,-39,1128,4317,134,3367,1608,2525,3808,149,157,25,1494,218,110,170,623,1036,1313,1297,8020,-20,227,416,1213,142,183,1427,31,75,318,-1,263,15457,2,876,146,-128,283,144,232,0
665,1029,417,1374,406,230,-21,157,146,3102,453,1357,6517,115,2730,2420,257,1976,583,-27,1,2122,493,53,174,185,125,2352,558,8259,43,325,358,586,119,474,3263,62,15,498,10,339,5810,163,343,235,-189,350,347,262,0
