model,encoding,kernel_method,val_acc,ind_acc,ind_auroc,ind_f1,ind_recall,n_qubits,feature_selection,k
QKSVM,angle,statevector,1.0,0.7941176470588235,0.6984126984126983,0.5882352941176471,0.7142857142857143,4,anova,4
QKSVM,angle,statevector,1.0,0.7352941176470589,0.7037037037037037,0.47058823529411764,0.5714285714285714,8,anova,8
QKSVM,angle,statevector,1.0,0.7647058823529411,0.6931216931216931,0.6,0.8571428571428571,16,anova,16
QKSVM,angle,statevector,1.0,0.8529411764705882,0.9428571428571428,0.782608695652174,0.6428571428571429,4,snr,4
QKSVM,angle,statevector,0.9166666666666666,0.9411764705882353,0.9750000000000001,0.9230769230769231,0.8571428571428571,8,snr,8
QKSVM,angle,statevector,1.0,0.9411764705882353,0.9214285714285715,0.9285714285714286,0.9285714285714286,16,snr,16
QKSVM,amplitude,statevector,0.75,0.7941176470588235,0.5132275132275133,0.0,0.0,2,anova,4
QKSVM,amplitude,statevector,0.75,0.7941176470588235,0.5767195767195767,0.0,0.0,3,anova,8
QKSVM,amplitude,statevector,0.8333333333333334,0.7058823529411765,0.7142857142857142,0.2857142857142857,0.2857142857142857,4,anova,16
QKSVM,amplitude,statevector,0.8333333333333334,0.7058823529411765,0.7248677248677249,0.0,0.0,5,anova,32
QKSVM,amplitude,statevector,1.0,0.6470588235294118,0.746031746031746,0.25,0.2857142857142857,6,anova,50
QKSVM,amplitude,statevector,1.0,0.8529411764705882,0.9107142857142857,0.8148148148148148,0.7857142857142857,2,snr,4
QKSVM,amplitude,statevector,0.9166666666666666,0.9117647058823529,0.9714285714285714,0.896551724137931,0.9285714285714286,3,snr,8
QKSVM,amplitude,statevector,1.0,0.9705882352941176,0.9964285714285714,0.9629629629629629,0.9285714285714286,4,snr,16
QKSVM,amplitude,statevector,1.0,0.9705882352941176,0.9928571428571429,0.9629629629629629,0.9285714285714286,5,snr,32
QKSVM,amplitude,statevector,1.0,0.9705882352941176,0.9928571428571429,0.9629629629629629,0.9285714285714286,6,snr,50
QKSVM,angle,tensor_network,1.0,0.6764705882352942,0.7063492063492064,0.5217391304347826,0.8571428571428571,32,anova,32
QKSVM,angle,tensor_network,0.75,0.7941176470588235,0.7380952380952381,0.0,0.0,50,anova,50
QKSVM,angle,tensor_network,0.75,0.5882352941176471,0.925,0.0,0.0,32,snr,32
QKSVM,angle,tensor_network,0.75,0.5882352941176471,0.9321428571428572,0.0,0.0,50,snr,50
