rank,gene_accession,gene_description,scad_weight
1,X95735_at,Zyxin,0.016071565801751692
2,D49950_at,Liver mRNA for interferon-gamma inducing factor(IGIF),0.015618177743217837
3,U50136_rna1_at,Leukotriene C4 synthase (LTC4S) gene,0.015220290009268026
4,M23197_at,CD33 CD33 antigen (differentiation antigen),0.014925494012660488
5,Y12670_at,LEPR Leptin receptor,0.014608099071805119
6,M16038_at,LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog,0.013675088011748611
7,X17042_at,PRG1 Proteoglycan 1; secretory granule,0.013177360069666808
8,M55150_at,FAH Fumarylacetoacetate,0.01309469230642359
9,M19507_at,MPO Myeloperoxidase,0.012741394120337611
10,M84526_at,DF D component of complement (adipsin),0.012314509849214568
11,M81933_at,CDC25A Cell division cycle 25A,0.01195087083297759
12,M80254_at,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE; MITOCHONDRIAL PRECURSOR,0.011825884404807453
13,X85116_rna1_s_at,Epb72 gene exon 1,0.011742473689869706
14,U82759_at,GB DEF = Homeodomain protein HoxA9 mRNA,0.011302340948133063
15,L08246_at,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1,0.011211029302435678
16,M96326_rna1_at,Azurocidin gene,0.011077852875406455
17,M27891_at,CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),0.011032625472558262
18,X04085_rna1_at,Catalase (EC 1.11.1.6) 5'flank and exon 1 mapping to chromosome 11; band p13 (and joined CDS),0.010884139364802524
19,M22960_at,PPGB Protective protein for beta-galactosidase (galactosialidosis),0.010861003745596114
20,M83652_s_at,PFC Properdin P factor; complement,0.010692356776775788
21,U46751_at,Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA,0.01063638605486671
22,U12471_cds1_at,Thrombospondin-p50 gene extracted from Human thrombospondin-1 gene; partial cds,0.010581340536880578
23,M62762_at,ATP6C Vacuolar H+ ATPase proton channel subunit,0.010557210880390603
24,M63138_at,CTSD Cathepsin D (lysosomal aspartyl protease),0.010502526146740358
25,X52056_at,SPI1 Spleen focus forming virus (SFFV) proviral integration oncogene spi1,0.010150898174594617
26,U37055_rna1_s_at,Hepatocyte growth factor-like protein gene,0.009807796821765578
27,Y00787_s_at,INTERLEUKIN-8 PRECURSOR,0.00976745413131388
28,X70297_at,CHRNA7 Cholinergic receptor; nicotinic; alpha polypeptide 7,0.009752371773016315
29,Y00339_s_at,CA2 Carbonic anhydrase II,0.009621719452986432
30,M95678_at,PLCB2 Phospholipase C; beta 2,0.009536278276111905
31,M28130_rna1_s_at,Interleukin 8 (IL8) gene,0.009147892454930428
32,M57710_at,LGALS3 Lectin; galactoside-binding; soluble; 3 (galectin 3) (NOTE: redefinition of symbol),0.0091275206225514
33,S82185_at,GB DEF = Escherichia coli unknown mRNA,0.008920819311386585
34,M98399_s_at,CD36 CD36 antigen (collagen type I receptor; thrombospondin receptor),0.008886161506496277
35,M69043_at,MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,0.008835303764226931
36,M86406_at,ACTN2 Actinin alpha 2 ,0.008803708599324778
37,M81695_s_at,ITGAX Integrin; alpha X (antigen CD11C (p150); alpha polypeptide),0.008791934894692986
38,U67963_at,Lysophospholipase homolog (HU-K5) mRNA,0.008782151784269903
39,M37435_at,CSF1 Colony-stimulating factor 1 (M-CSF),0.008719549629382733
40,M32304_s_at,TIMP2 Tissue inhibitor of metalloproteinase 2,0.008588776912830193
41,U92459_at,Metabotropic glutamate receptor 8 mRNA,0.008525392287585738
42,M19045_f_at,LYZ Lysozyme,0.008525080823237812
43,L09209_s_at,APLP2 Amyloid beta (A4) precursor-like protein 2,0.008414310723789262
44,X16546_at,RNS2 Ribonuclease 2 (eosinophil-derived neurotoxin; EDN),0.008264376609745818
45,X14008_rna1_f_at,Lysozyme gene (EC 3.2.1.17),0.00820302627430662
46,M31158_at,PRKAR2B Protein kinase; cAMP-dependent; regulatory; type II; beta,0.008115887898181889
47,M11147_at,FTL Ferritin; light polypeptide,0.008082039384910606
48,X58431_rna2_s_at,HOX 2.2 gene extracted from Human Hox2.2 gene for a homeobox protein,0.007973041750345713
49,X62654_rna1_at,ME491  gene extracted from H.sapiens gene for Me491/CD63 antigen,0.007922865252527358
50,L38608_at,ALCAM Activated leucocyte cell adhesion molecule,0.007909654798805598
